Model,RTH1004
SerialNumber,103234
Firmware Version,'1.60.3.3'

Waveform Time Stamp,2019-11-22 22:37:08.452,2019-11-22 22:37:08.452,2019-11-22 22:37:08.452,2019-11-22 22:37:08.452
Waveform Type,ANALOG,,,
Acquisition Mode,SAMPLE,,,
Horizontal Unit,s,,,
Horizontal Scale,50,,,
Horizontal Position,7.105e-15,,,
Reference Point,10 %,,,
Sample Interval,0.2,,,
Record Length,2500,,,
Probe Setting,'10:1','10 mV/A','10:1','10:1'
Vertical Unit,V,A,V,V
Vertical Scale,5,20,5,5
Vertical Position,-3,-3,-3,-3
Vertical Offset,0,0,0,0
History Index,-1,-1,-1,-1
History Time Stamp,-549.596706322392,-549.596706322392,-549.596706322392,-549.596706322392
,,,,
TIME,CH1,CH2,CH3,CH4
-50,0.17647,3.2157,0.33333,19.549
-49.8,0.4902,3.5294,0.33333,19.941
-49.6,0.33333,3.5294,0.4902,20.098
-49.4,0.64706,3.2157,0.64706,20.098
-49.2,0.80392,3.5294,0.41176,20.098
-49,0.4902,3.5294,0.41176,20.255
-48.8,0.17647,3.5294,0.41176,21.039
-48.6,0.56863,2.5882,0.56863,22.608
-48.4,0.41176,3.5294,0.4902,24.569
-48.2,0.72549,3.2157,0.64706,25.51
-48,0.56863,3.2157,0.4902,30.137
-47.8,0.64706,3.2157,0.41176,28.569
-47.6,0.56863,2.902,0.41176,29.588
-47.4,0.56863,3.2157,0.33333,30.922
-47.2,0.41176,2.902,0.41176,30.843
-47,0.56863,2.5882,0.41176,30.843
-46.8,0.80392,2.5882,0.56863,30.843
-46.6,0.41176,1.6471,0.41176,30.922
-46.4,0.80392,2.5882,0.64706,30.922
-46.2,0.72549,1.9608,0.64706,30.922
-46,0.64706,1.9608,0.56863,30.922
-45.8,0.41176,2.2745,0.41176,31.078
-45.6,0.4902,1.9608,0.41176,30.843
-45.4,0.4902,2.2745,0.4902,30.843
-45.2,0.72549,2.2745,0.56863,30.765
-45,0.64706,2.5882,0.72549,31
-44.8,0.4902,1.9608,0.4902,30.922
-44.6,0.4902,2.2745,0.56863,31
-44.4,0.72549,2.5882,0.64706,30.686
-44.2,0.33333,2.902,0.4902,30.922
-44,0.4902,2.2745,0.41176,30.922
-43.8,0.33333,2.2745,0.33333,30.922
-43.6,0.2549,1.9608,0.33333,31
-43.4,0.41176,1.9608,0.2549,31
-43.2,0.17647,1.9608,0.2549,30.922
-43,0.098039,2.2745,0.17647,31
-42.8,0.17647,2.2745,0.2549,31.078
-42.6,0.019608,1.9608,0.17647,30.922
-42.4,-0.13725,2.5882,0.17647,30.922
-42.2,-0.058824,2.2745,-0.13725,30.843
-42,-0.058824,1.6471,0.019608,31
-41.8,-0.21569,1.6471,0.098039,30.922
-41.6,-0.29412,2.5882,-0.058824,31
-41.4,-0.21569,2.5882,0.019608,31.078
-41.2,-0.21569,1.9608,-0.13725,31.157
-41,-0.52941,1.9608,-0.21569,31
-40.8,-0.45098,1.9608,-0.21569,31
-40.6,-0.60784,2.2745,-0.29412,30.765
-40.4,-0.76471,1.9608,-0.45098,31.078
-40.2,-0.76471,2.2745,-0.45098,31
-40,-0.92157,1.9608,-0.52941,30.765
-39.8,-0.84314,2.902,-0.45098,31
-39.6,-1,1.9608,-0.60784,30.843
-39.4,-0.92157,1.9608,-0.52941,31
-39.2,-0.92157,2.2745,-0.60784,30.922
-39,-1,2.5882,-0.68627,30.922
-38.8,-0.92157,1.9608,-0.52941,31.078
-38.6,-0.84314,2.2745,-0.45098,30.922
-38.4,-0.76471,2.902,-0.45098,31
-38.2,-0.52941,2.2745,-0.13725,30.922
-38,-0.76471,2.902,-0.29412,31.078
-37.8,-0.84314,1.6471,-0.52941,31
-37.6,-0.76471,2.2745,-0.37255,30.922
-37.4,-0.29412,1.9608,-0.29412,31
-37.2,-0.60784,2.902,-0.29412,30.843
-37,-0.45098,3.2157,-0.45098,30.843
-36.8,-0.60784,3.2157,-0.29412,30.922
-36.6,-0.45098,2.5882,-0.37255,30.922
-36.4,-0.45098,2.2745,-0.21569,30.843
-36.2,-0.76471,2.902,-0.37255,31
-36,-0.45098,2.2745,-0.37255,31
-35.8,-0.52941,1.9608,-0.21569,30.922
-35.6,-0.76471,3.2157,-0.37255,30.843
-35.4,-0.68627,2.902,-0.60784,31
-35.2,-0.84314,3.2157,-0.45098,31.157
-35,-0.60784,2.902,-0.37255,31
-34.8,-0.29412,2.902,-0.21569,30.765
-34.6,-0.68627,2.2745,-0.45098,30.922
-34.4,-0.84314,1.9608,-0.45098,30.843
-34.2,-0.76471,2.5882,-0.76471,30.843
-34,-0.60784,1.9608,-0.37255,30.843
-33.8,-0.29412,2.5882,-0.21569,30.922
-33.6,-0.52941,2.902,-0.29412,30.843
-33.4,-0.60784,1.6471,-0.52941,30.843
-33.2,-0.37255,2.902,-0.13725,30.922
-33,-0.45098,1.9608,-0.29412,30.922
-32.8,-0.76471,1.9608,-0.37255,31
-32.6,-0.52941,1.9608,-0.29412,30.843
-32.4,-0.29412,2.902,-0.29412,30.922
-32.2,-0.68627,2.2745,-0.45098,30.765
-32,-0.60784,2.5882,-0.37255,31.157
-31.8,-0.60784,2.2745,-0.52941,31
-31.6,-0.84314,2.902,-0.52941,31
-31.4,-0.52941,1.9608,-0.37255,30.294
-31.2,-0.68627,2.5882,-0.45098,31
-31,-0.92157,2.2745,-0.52941,30.922
-30.8,-0.21569,1.9608,-0.29412,31.157
-30.6,-0.68627,1.9608,-0.29412,30.843
-30.4,-0.45098,1.3333,-0.29412,31.078
-30.2,-0.52941,2.2745,-0.21569,31.157
-30,-0.60784,2.2745,-0.21569,31
-29.8,-0.29412,2.2745,-0.29412,30.922
-29.6,-0.29412,2.2745,-0.13725,31
-29.4,-0.68627,2.5882,-0.52941,31
-29.2,-0.37255,3.2157,-0.29412,30.922
-29,-0.52941,2.2745,-0.45098,30.922
-28.8,-0.68627,1.9608,-0.52941,30.922
-28.6,-0.76471,1.6471,-0.52941,31
-28.4,-0.68627,1.9608,-0.45098,30.843
-28.2,-0.76471,1.6471,-0.45098,31.078
-28,-0.84314,2.2745,-0.68627,31
-27.8,-0.84314,2.5882,-0.68627,31
-27.6,-1.0784,2.5882,-0.60784,31.078
-27.4,-1.1569,2.2745,-0.76471,30.922
-27.2,-1,1.6471,-0.68627,31
-27,-1,2.2745,-0.52941,31
-26.8,-0.84314,1.9608,-0.45098,31.078
-26.6,-0.84314,2.2745,-0.52941,31
-26.4,-0.84314,3.2157,-0.45098,31.078
-26.2,-1.0784,2.2745,-0.60784,31.157
-26,-0.92157,1.9608,-0.45098,30.922
-25.8,-0.92157,2.5882,-0.45098,30.843
-25.6,-0.92157,2.5882,-0.60784,30.922
-25.4,-0.84314,2.2745,-0.60784,31
-25.2,-0.84314,2.5882,-0.37255,31.078
-25,-0.60784,3.2157,-0.37255,30.922
-24.8,-0.52941,1.9608,-0.21569,31.157
-24.6,-0.21569,2.2745,-0.37255,31.078
-24.4,-0.29412,2.902,-0.21569,31.078
-24.2,-0.29412,2.5882,-0.058824,30.765
-24,-0.21569,2.2745,0.019608,30.922
-23.8,-0.29412,2.902,0.019608,30.843
-23.6,-0.21569,2.902,-0.058824,31
-23.4,-0.21569,1.9608,-0.058824,31
-23.2,-0.13725,2.2745,0.019608,30.922
-23,0.019608,2.2745,0.17647,31
-22.8,0.2549,1.6471,0.2549,31
-22.6,0.17647,3.2157,0.2549,30.843
-22.4,0.17647,2.2745,0.33333,31.078
-22.2,0.2549,2.2745,0.33333,31
-22,0.64706,2.902,0.56863,30.922
-21.8,0.41176,2.5882,0.33333,33.275
-21.6,-0.058824,2.5882,0.33333,30.922
