Time(15A),Voltage(15A),Time(20A),Voltage(20A),Time(25A),Voltage(25A),Time(27A),Voltage(27A),Time(30A),Voltage(30A)
0.5521807736232311,12.397832644894043,0.5838042017612572,12.392362844915532,1.479801332338667,12.193930656806188,0.6365099153246341,12.193041532941368,0.5310984881978804,12.09535045513585
1.1108613373950273,12.398440400447212,1.1635670509584042,12.382121038371405,2.059564181535814,12.185163220215117,1.216272764521781,12.182912273721902,1.1108613373950273,12.08769723705892
1.6906241865921743,12.38921151982503,1.7433299001555511,12.370303569282028,2.639327030732961,12.177510002138186,1.796035613718928,12.172557919853114,1.6906241865921743,12.078918545735382
2.270387035789321,12.383133964293352,2.323092749352698,12.357360626946043,3.2190898799301078,12.170419520684561,2.375798462916075,12.163441586555596,2.270387035789321,12.070702591035149
2.850149884986468,12.379757544553529,2.902855598549845,12.345318063207344,3.7988527291272547,12.164792154451524,2.955561312113222,12.154325253258076,2.850149884986468,12.062599183659575
3.429912734183615,12.374355272969813,3.482618447746992,12.33383823609195,4.378615578324402,12.159052240893827,3.5353241613103688,12.143858352064626,3.429912734183615,12.055058512907307
4.009675583380762,12.36917809603542,4.062381296944139,12.322133314327232,4.958378427521549,12.153649969310111,4.1150870105075175,12.134179282143803,4.009675583380762,12.047067652856395
4.589438432577909,12.364451108399669,4.642144146141286,12.310653487211837,5.5381412767186955,12.14734731912911,4.694849859704664,12.124725306872302,4.589438432577909,12.038964245480821
5.169201281775056,12.360174310062561,5.2219069953384345,12.301312059264996,6.117904125915842,12.140594479649465,5.274612708901811,12.114933689626818,5.169201281775056,12.030523196131266
5.748964130972205,12.356797890322738,5.801669844535581,12.295347051057977,6.697666975112989,12.135304755390411,5.854375558098958,12.104016599134727,5.748964130972205,12.022194694106371
6.3287269801693515,12.35229599733631,6.381432693732728,12.287581285656387,7.277429824310136,12.129452294508052,6.434138407296105,12.09535045513585,6.3287269801693515,12.013753644756816
6.9084898293664985,12.347569009700559,6.961195542929875,12.28049080420276,7.857192673507283,12.124162570248998,7.013901256493252,12.086684311136974,6.9084898293664985,12.005650237381243
7.488252678563645,12.34306711671413,7.540958392127022,12.273062680775151,8.43695552270443,12.118985393314604,7.593664105690399,12.07689269389149,7.488252678563645,11.993945315616527
8.068015527760792,12.339690696974307,8.12072124132417,12.265972199321526,9.016718371901579,12.112682743133604,8.173426954887546,12.066538340022701,8.068015527760792,11.983590961747739
8.647778376957937,12.3354138986372,8.700484090521318,12.25876917054324,9.596481221098724,12.105704809004637,8.753189804084695,12.057534554049843,8.647778376957937,11.97132330335972
9.227541226155086,12.331137100300092,9.280246939718463,12.252016331063594,10.176244070295873,12.099514706148296,9.33295265328184,12.048418220752323,9.227541226155086,11.958042719049752
9.807304075352235,12.326635207313663,9.860009788915612,12.244250565662004,10.756006919493018,12.091186204123403,9.912715502478989,12.039189340130143,9.807304075352235,11.948026007154947
10.38706692454938,12.322808598275197,10.439772638112757,12.237272631533038,11.335769768690167,12.082294965475205,10.492478351676134,12.028947533586015,10.38706692454938,11.935420706792945
10.966829773746529,12.318306705288768,11.019535487309906,12.228944129508143,11.915532617887312,12.07092768568447,11.072241200873282,12.019381010989854,10.966829773746529,11.922365217132299
11.546592622943674,12.31402990695166,11.59929833650705,12.222528932002481,12.49529546708446,12.062036447036272,11.652004050070428,12.010827414315637,11.546592622943674,11.912123410588173
12.126355472140823,12.30952801396523,12.1790611857042,12.21453807195157,13.07505831628161,12.053032661063414,12.231766899267576,12.000923249745492,12.126355472140823,11.900531036148116
12.706118321337968,12.304688479004819,12.758824034901345,12.207447590497942,13.654821165478754,12.044028875090554,12.811529748464721,11.990568895876704,12.706118321337968,11.889276303682042
13.285881170535117,12.299623849395084,13.338586884098493,12.19934418312237,14.234584014675903,12.034574899819052,13.39129259766187,11.981227467929864,13.285881170535117,11.877233739943344
13.865644019732262,12.293546293863406,13.918349733295639,12.191916059694762,14.814346863873048,12.023657809326961,13.971055446859015,11.97132330335972,13.865644019732262,11.865753912827948
14.44540686892941,12.288706758902993,14.498112582492787,12.183137368371224,15.394109713070197,12.015216759977406,14.550818296056164,11.96074385484161,14.44540686892941,11.854949369660519
15.025169718126556,12.283529581968601,15.077875431689932,12.174021035073704,15.973872562267342,12.006325521329208,15.13058114525331,11.951289879570108,15.025169718126556,11.843582089869784
15.604932567323704,12.278239857709545,15.657638280887081,12.166030175022792,16.55363541146449,11.99585862013576,15.710343994450458,11.941723356973945,15.604932567323704,11.832777546702353
16.18469541652085,12.27283758612583,16.237401130084226,12.157251483699255,17.133398260661636,11.985841908240953,16.290106843647607,11.931369003105157,16.18469541652085,11.820960077612977
16.764458265717998,12.268110598490079,16.817163979281375,12.148247697726395,17.713161109858785,11.976613027618773,16.869869692844752,11.921352291210352,16.764458265717998,11.80948025049758
17.344221114915147,12.262933421555685,17.396926828478524,12.140144290350822,18.29292395905593,11.965695937126682,17.4496325420419,11.91178576861419,17.344221114915147,11.795299287590328
17.923983964112292,12.257531149971971,17.97668967767567,12.131478146351945,18.87268680825308,11.956579603829162,18.029395391239046,11.900531036148116,17.923983964112292,11.782131250605023
18.50374681330944,12.252691615011559,18.556452526872818,12.122812002353069,19.452449657450224,11.946000155311054,18.609158240436194,11.886350073240864,18.50374681330944,11.766824814451162
19.083509662506586,12.247964627375808,19.136215376069963,12.11515878427614,20.032212506647372,11.936771274688873,19.18892108963334,11.873407130904878,19.083509662506586,11.751743472946623
