values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.804309;12.922383;12.885615;-0.50424469;
12.796439;12.922668;12.880041;-0.39386353;
12.796439;12.922668;12.880041;-0.39386353;
12.796439;12.922668;12.880041;-0.39386353;
12.796439;12.922668;12.880041;-0.39386353;
12.800904;12.924566;12.881214;-0.28812549;
12.800904;12.924566;12.881214;-0.28812549;
12.800904;12.924566;12.881214;-0.28812549;
12.801774;12.928449;12.880141;-0.23210667;
12.801774;12.928449;12.880141;-0.23210667;
12.801774;12.928449;12.880141;-0.23210667;
12.801774;12.928449;12.880141;-0.23210667;
12.800901;12.92662;12.879863;-0.055843137;
12.800901;12.92662;12.879863;-0.055843137;
12.800901;12.92662;12.879863;-0.055843137;
12.798522;12.924477;12.878862;-0.2329098;
12.798522;12.924477;12.878862;-0.2329098;
12.798522;12.924477;12.878862;-0.2329098;
12.798522;12.924477;12.878862;-0.2329098;
12.798076;12.922673;12.880155;0.072934903;
12.798076;12.922673;12.880155;0.072934903;
12.798076;12.922673;12.880155;0.072934903;
12.800831;12.927047;12.881314;0.060787451;
12.800831;12.927047;12.881314;0.060787451;
12.800831;12.927047;12.881314;0.060787451;
12.800831;12.927047;12.881314;0.060787451;
12.801413;12.92325;12.884938;-0.35922822;
12.801413;12.92325;12.884938;-0.35922822;
12.801413;12.92325;12.884938;-0.35922822;
12.797735;12.921522;12.877676;-0.28787452;
12.797735;12.921522;12.877676;-0.28787452;
12.797735;12.921522;12.877676;-0.28787452;
12.797735;12.921522;12.877676;-0.28787452;
12.802823;12.923704;12.88243;-0.32544628;
12.802823;12.923704;12.88243;-0.32544628;
12.802823;12.923704;12.88243;-0.32544628;
12.807612;12.922126;12.880065;-0.33648941;
12.807612;12.922126;12.880065;-0.33648941;
12.807612;12.922126;12.880065;-0.33648941;
12.807612;12.922126;12.880065;-0.33648941;
12.807519;12.925829;12.881789;0.2596392;
12.807519;12.925829;12.881789;0.2596392;
12.807519;12.925829;12.881789;0.2596392;
12.804482;12.926154;12.888113;-0.032752942;
12.804482;12.926154;12.888113;-0.032752942;
12.804482;12.926154;12.888113;-0.032752942;
12.804482;12.926154;12.888113;-0.032752942;
12.800646;12.922779;12.886318;-0.02790902;
12.800646;12.922779;12.886318;-0.02790902;
12.800646;12.922779;12.886318;-0.02790902;
12.798214;12.923549;12.886698;-0.25547293;
12.798214;12.923549;12.886698;-0.25547293;
12.798214;12.923549;12.886698;-0.25547293;
12.798214;12.923549;12.886698;-0.25547293;
12.79833;12.921039;12.88307;-0.084956862;
12.79833;12.921039;12.88307;-0.084956862;
12.79833;12.921039;12.88307;-0.084956862;
12.801933;12.921535;12.882463;-0.18916392;
12.801933;12.921535;12.882463;-0.18916392;
12.801933;12.921535;12.882463;-0.18916392;
12.798882;12.921491;12.8819;-0.4698855;
12.798882;12.921491;12.8819;-0.4698855;
12.798882;12.921491;12.8819;-0.4698855;
12.80021;12.925683;12.879903;-0.15799215;
12.80021;12.925683;12.879903;-0.15799215;
12.80021;12.925683;12.879903;-0.15799215;
12.806317;12.918926;12.882992;-0.35292864;
12.806317;12.918926;12.882992;-0.35292864;
12.806317;12.918926;12.882992;-0.35292864;
12.806317;12.918926;12.882992;-0.35292864;
12.799634;12.921484;12.882177;-0.11846274;
12.799634;12.921484;12.882177;-0.11846274;
12.799634;12.921484;12.882177;-0.11846274;
12.799346;12.920155;12.880177;-0.61289412;
12.799346;12.920155;12.880177;-0.61289412;
12.799346;12.920155;12.880177;-0.61289412;
12.800932;12.920145;12.881326;-0.00065254903;
12.800932;12.920145;12.881326;-0.00065254903;
12.800932;12.920145;12.881326;-0.00065254903;
12.800987;12.924359;12.883647;-0.68480003;
12.800987;12.924359;12.883647;-0.68480003;
12.800987;12.924359;12.883647;-0.68480003;
12.800987;12.924359;12.883647;-0.68480003;
12.800987;12.924359;12.883647;-0.68480003;
12.799195;12.922944;12.882281;-0.19104627;
12.799195;12.922944;12.882281;-0.19104627;
12.799195;12.922944;12.882281;-0.19104627;
12.796392;12.927499;12.88318;0.033003923;
12.796392;12.927499;12.88318;0.033003923;
12.796392;12.927499;12.88318;0.033003923;
12.796392;12.927499;12.88318;0.033003923;
12.794284;12.926188;12.879099;-0.36030746;
12.794284;12.926188;12.879099;-0.36030746;
12.794284;12.926188;12.879099;-0.36030746;
12.79757;12.923562;12.880597;-0.20560314;
12.79757;12.923562;12.880597;-0.20560314;
12.79757;12.923562;12.880597;-0.20560314;
12.793567;12.924812;12.880265;-0.34788391;
12.793567;12.924812;12.880265;-0.34788391;
12.793567;12.924812;12.880265;-0.34788391;
12.793567;12.924812;12.880265;-0.34788391;
12.798331;12.92814;12.881576;-0.40302432;
12.798331;12.92814;12.881576;-0.40302432;
12.798331;12.92814;12.881576;-0.40302432;
12.798798;12.921279;12.879055;-0.5851106;
12.798798;12.921279;12.879055;-0.5851106;
12.798798;12.921279;12.879055;-0.5851106;
12.798798;12.921279;12.879055;-0.5851106;
12.798502;12.925491;12.88274;0.065882355;
12.798502;12.925491;12.88274;0.065882355;
12.798502;12.925491;12.88274;0.065882355;
12.79335;12.92556;12.885346;-0.055165492;
12.79335;12.92556;12.885346;-0.055165492;
12.79335;12.92556;12.885346;-0.055165492;
12.794333;12.92794;12.876498;-0.073035292;
12.794333;12.92794;12.876498;-0.073035292;
12.794333;12.92794;12.876498;-0.073035292;
12.797031;12.927222;12.884226;-0.095472939;
12.797031;12.927222;12.884226;-0.095472939;
12.797031;12.927222;12.884226;-0.095472939;
12.797031;12.927222;12.884226;-0.095472939;
12.80292;12.921399;12.882296;0.29414901;
12.80292;12.921399;12.882296;0.29414901;
12.80292;12.921399;12.882296;0.29414901;
12.804308;12.923089;12.879722;0.16153099;
12.804308;12.923089;12.879722;0.16153099;
12.804308;12.923089;12.879722;0.16153099;
12.804308;12.923089;12.879722;0.16153099;
12.799732;12.928123;12.883432;-0.12734745;
12.799732;12.928123;12.883432;-0.12734745;
12.799732;12.928123;12.883432;-0.12734745;
12.800615;12.920753;12.87898;-0.19360627;
12.800615;12.920753;12.87898;-0.19360627;
12.800615;12.920753;12.87898;-0.19360627;
12.800615;12.920753;12.87898;-0.19360627;
12.800005;12.921117;12.884366;0.058754511;
12.800005;12.921117;12.884366;0.058754511;
12.800005;12.921117;12.884366;0.058754511;
12.796209;12.926741;12.887982;0.037195295;
12.796209;12.926741;12.887982;0.037195295;
12.796209;12.926741;12.887982;0.037195295;
12.796209;12.926741;12.887982;0.037195295;
12.795822;12.925358;12.889062;0.30127686;
12.795822;12.925358;12.889062;0.30127686;
12.795822;12.925358;12.889062;0.30127686;
12.796537;12.922997;12.887822;-0.015109019;
12.796537;12.922997;12.887822;-0.015109019;
12.796537;12.922997;12.887822;-0.015109019;
12.800524;12.926614;12.886773;0.085910589;
