values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.767241;12.869919;12.821348;0.21483655;
12.767241;12.869919;12.821348;0.21483655;
12.763108;12.874496;12.82099;0.20034997;
12.763108;12.874496;12.82099;0.20034997;
12.763108;12.874496;12.82099;0.20034997;
12.771886;12.865049;12.827929;0.2186489;
12.771886;12.865049;12.827929;0.2186489;
12.771886;12.865049;12.827929;0.2186489;
12.770672;12.865295;12.821012;0.2067337;
12.770672;12.865295;12.821012;0.2067337;
12.770672;12.865295;12.821012;0.2067337;
12.764556;12.874324;12.821081;0.21382746;
12.764556;12.874324;12.821081;0.21382746;
12.764556;12.874324;12.821081;0.21382746;
12.764556;12.874324;12.821081;0.21382746;
12.767699;12.874071;12.826063;0.20340399;
12.767699;12.874071;12.826063;0.20340399;
12.767699;12.874071;12.826063;0.20340399;
12.768684;12.871549;12.825901;0.20383373;
12.768684;12.871549;12.825901;0.20383373;
12.768684;12.871549;12.825901;0.20383373;
12.768684;12.871549;12.825901;0.20383373;
12.768411;12.872352;12.8196;0.20925912;
12.768411;12.872352;12.8196;0.20925912;
12.768411;12.872352;12.8196;0.20925912;
12.767042;12.872093;12.824129;0.20259379;
12.767042;12.872093;12.824129;0.20259379;
12.767042;12.872093;12.824129;0.20259379;
12.767042;12.872093;12.824129;0.20259379;
12.77085;12.868464;12.824233;0.21416056;
12.77085;12.868464;12.824233;0.21416056;
12.77085;12.868464;12.824233;0.21416056;
12.768616;12.86783;12.827282;0.20106541;
12.768616;12.86783;12.827282;0.20106541;
12.768616;12.86783;12.827282;0.20106541;
12.768616;12.86783;12.827282;0.20106541;
12.768787;12.871964;12.825356;0.2117371;
12.768787;12.871964;12.825356;0.2117371;
12.768787;12.871964;12.825356;0.2117371;
12.768787;12.871964;12.825356;0.2117371;
12.764813;12.865399;12.830779;0.19980063;
12.764813;12.865399;12.830779;0.19980063;
12.764813;12.865399;12.830779;0.19980063;
12.769176;12.86985;12.825337;0.21666786;
12.769176;12.86985;12.825337;0.21666786;
12.769176;12.86985;12.825337;0.21666786;
12.769176;12.86985;12.825337;0.21666786;
12.774199;12.870497;12.830649;0.20246197;
12.774199;12.870497;12.830649;0.20246197;
12.774199;12.870497;12.830649;0.20246197;
12.767211;12.870034;12.829621;0.217153;
12.767211;12.870034;12.829621;0.217153;
12.767211;12.870034;12.829621;0.217153;
12.767211;12.870034;12.829621;0.217153;
12.776324;12.869255;12.824245;0.20548955;
12.776324;12.869255;12.824245;0.20548955;
12.776324;12.869255;12.824245;0.20548955;
12.770955;12.870879;12.827014;0.20765249;
12.770955;12.870879;12.827014;0.20765249;
12.770955;12.870879;12.827014;0.20765249;
12.770955;12.870879;12.827014;0.20765249;
12.769596;12.867183;12.82182;0.38997957;
12.769596;12.867183;12.82182;0.38997957;
12.769596;12.867183;12.82182;0.38997957;
12.771219;12.868115;12.826709;0.2136073;
12.771219;12.868115;12.826709;0.2136073;
12.771219;12.868115;12.826709;0.2136073;
12.771219;12.868115;12.826709;0.2136073;
12.773324;12.869879;12.825097;0.21353452;
12.773324;12.869879;12.825097;0.21353452;
12.773324;12.869879;12.825097;0.21353452;
12.766418;12.866648;12.816816;0.51683313;
12.766418;12.866648;12.816816;0.51683313;
12.766418;12.866648;12.816816;0.51683313;
12.764873;12.858453;12.816007;0.72397035;
12.764873;12.858453;12.816007;0.72397035;
12.764873;12.858453;12.816007;0.72397035;
12.747314;12.851652;12.811959;1.2866527;
12.747314;12.851652;12.811959;1.2866527;
12.747314;12.851652;12.811959;1.2866527;
12.750062;12.8425;12.804989;1.3180853;
12.750062;12.8425;12.804989;1.3180853;
12.750062;12.8425;12.804989;1.3180853;
12.750062;12.8425;12.804989;1.3180853;
12.748741;12.845319;12.803667;1.3595425;
12.748741;12.845319;12.803667;1.3595425;
12.748741;12.845319;12.803667;1.3595425;
12.737218;12.832607;12.796783;1.7930508;
12.737218;12.832607;12.796783;1.7930508;
12.737218;12.832607;12.796783;1.7930508;
12.737218;12.832607;12.796783;1.7930508;
12.74083;12.845109;12.798452;1.2034746;
12.74083;12.845109;12.798452;1.2034746;
12.74083;12.845109;12.798452;1.2034746;
12.74083;12.845109;12.798452;1.2034746;
12.740888;12.840123;12.800597;1.0261778;
12.740888;12.840123;12.800597;1.0261778;
12.740888;12.840123;12.800597;1.0261778;
12.740888;12.840123;12.800597;1.0261778;
12.742738;12.836493;12.797289;1.2579062;
12.742738;12.836493;12.797289;1.2579062;
12.742738;12.836493;12.797289;1.2579062;
12.742738;12.836493;12.797289;1.2579062;
12.737544;12.830894;12.788603;1.4967895;
12.737544;12.830894;12.788603;1.4967895;
12.737544;12.830894;12.788603;1.4967895;
12.735521;12.83811;12.790754;1.3525116;
12.735521;12.83811;12.790754;1.3525116;
12.735521;12.83811;12.790754;1.3525116;
12.730044;12.828259;12.789794;1.5715724;
12.730044;12.828259;12.789794;1.5715724;
12.730044;12.828259;12.789794;1.5715724;
12.731649;12.822308;12.783723;1.7819208;
12.731649;12.822308;12.783723;1.7819208;
12.731649;12.822308;12.783723;1.7819208;
12.731649;12.822308;12.783723;1.7819208;
12.728189;12.820345;12.783748;1.4655653;
12.728189;12.820345;12.783748;1.4655653;
12.728189;12.820345;12.783748;1.4655653;
12.724512;12.827882;12.784036;1.3369768;
12.724512;12.827882;12.784036;1.3369768;
12.724512;12.827882;12.784036;1.3369768;
12.723112;12.824473;12.78864;1.5224762;
12.723112;12.824473;12.78864;1.5224762;
12.723112;12.824473;12.78864;1.5224762;
12.723112;12.824473;12.78864;1.5224762;
12.723112;12.824473;12.78864;1.5224762;
12.728697;12.819835;12.788478;1.2726243;
12.728697;12.819835;12.788478;1.2726243;
12.728697;12.819835;12.788478;1.2726243;
12.724782;12.824649;12.785181;1.1240015;
12.724782;12.824649;12.785181;1.1240015;
12.724782;12.824649;12.785181;1.1240015;
12.728299;12.824087;12.782284;1.1418726;
12.728299;12.824087;12.782284;1.1418726;
12.728299;12.824087;12.782284;1.1418726;
12.725327;12.82075;12.78283;1.2145422;
12.725327;12.82075;12.78283;1.2145422;
12.725327;12.82075;12.78283;1.2145422;
12.725327;12.82075;12.78283;1.2145422;
12.733925;12.819922;12.784649;1.2772232;
12.733925;12.819922;12.784649;1.2772232;
12.733925;12.819922;12.784649;1.2772232;
12.728152;12.820921;12.784925;1.3050785;
12.728152;12.820921;12.784925;1.3050785;
12.728152;12.820921;12.784925;1.3050785;
12.728152;12.820921;12.784925;1.3050785;
12.722143;12.823505;12.783023;1.2750227;
12.722143;12.823505;12.783023;1.2750227;
12.722143;12.823505;12.783023;1.2750227;
12.728386;12.824906;12.784584;1.0873202;
