Model,RTH1004
SerialNumber,103234
Firmware Version,'1.60.3.3'

Waveform Time Stamp,2019-11-22 22:46:18.049,2019-11-22 22:46:18.049,2019-11-22 22:46:18.049,2019-11-22 22:46:18.049
Waveform Type,ANALOG,,,
Acquisition Mode,SAMPLE,,,
Horizontal Unit,s,,,
Horizontal Scale,50,,,
Horizontal Position,7.11e-15,,,
Reference Point,10 %,,,
Sample Interval,0.2,,,
Record Length,447,,,
Probe Setting,'10:1','10 mV/A','10:1','10:1'
Vertical Unit,V,A,V,V
Vertical Scale,5,20,5,5
Vertical Position,-3,-3,-3,-3
Vertical Offset,0,0,0,0
History Index,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,
TIME,CH1,CH2,CH3,CH4
-50,0.17647,2.5882,0.098039,22.216
-49.8,0.019608,2.5882,-0.058824,22.137
-49.6,-0.21569,3.5294,-0.21569,21.588
-49.4,0.019608,3.2157,0.098039,21.275
-49.2,-0.058824,3.2157,0.019608,21.275
-49,-0.29412,2.2745,-0.29412,21.275
-48.8,-0.37255,3.2157,-0.29412,21.039
-48.6,-0.45098,2.902,-0.29412,21.118
-48.4,-0.058824,2.902,-0.058824,21.039
-48.2,-0.60784,2.902,-0.45098,20.961
-48,-0.29412,3.2157,-0.45098,20.804
-47.8,-0.29412,3.2157,-0.21569,20.725
-47.6,-0.29412,3.2157,-0.29412,20.725
-47.4,-0.21569,3.2157,-0.29412,20.569
-47.2,-0.29412,3.2157,-0.37255,20.647
-47,-0.60784,3.2157,-0.45098,20.647
-46.8,-0.60784,2.902,-0.37255,20.49
-46.6,-0.37255,3.8431,-0.37255,20.49
-46.4,-0.45098,2.902,-0.37255,20.647
-46.2,-0.84314,3.2157,-0.60784,20.647
-46,-0.52941,3.8431,-0.37255,20.412
-45.8,-0.60784,2.902,-0.60784,18.608
-45.6,-0.29412,3.2157,-0.37255,20.333
-45.4,-0.60784,3.2157,-0.37255,20.333
-45.2,-0.45098,3.2157,-0.21569,20.333
-45,-0.68627,3.5294,-0.52941,20.412
-44.8,-0.68627,2.5882,-0.45098,20.333
-44.6,-0.29412,3.5294,-0.37255,20.333
-44.4,-0.13725,2.5882,-0.13725,20.333
-44.2,-0.52941,2.902,-0.37255,20.02
-44,-0.21569,3.2157,-0.37255,20.333
-43.8,-0.058824,3.5294,-0.21569,20.333
-43.6,-0.37255,2.902,-0.21569,20.02
-43.4,-0.29412,2.5882,-0.29412,20.176
-43.2,-0.45098,3.2157,-0.29412,20.255
-43,-0.29412,3.2157,-0.13725,20.098
-42.8,-0.45098,3.2157,-0.37255,20.333
-42.6,-0.37255,2.5882,-0.13725,20.098
-42.4,-0.29412,2.902,-0.29412,20.176
-42.2,-0.45098,3.5294,-0.37255,20.176
-42,-0.45098,3.5294,-0.29412,20.02
-41.8,-0.52941,2.902,-0.21569,20.02
-41.6,-0.21569,3.2157,-0.058824,20.176
-41.4,0.019608,3.2157,0.019608,20.02
-41.2,0.2549,3.2157,0.098039,20.02
-41,0.019608,2.902,0.098039,20.098
-40.8,0.17647,3.5294,-0.058824,20.098
-40.6,0.098039,3.2157,0.17647,20.098
-40.4,-0.21569,3.2157,-0.058824,19.392
-40.2,0.019608,3.2157,0.098039,20.176
-40,0.019608,2.2745,0.098039,20.176
-39.8,-0.13725,2.902,-0.21569,19.941
-39.6,-0.058824,3.2157,0.098039,19.941
-39.4,0.019608,3.2157,0.17647,20.02
-39.2,0.17647,2.5882,0.17647,19.941
-39,0.098039,3.5294,0.019608,20.02
-38.8,-0.058824,2.902,0.019608,19.784
-38.6,-0.058824,2.5882,-0.29412,19.784
-38.4,0.098039,2.2745,0.2549,19.784
-38.2,0.17647,2.902,0.098039,19.941
-38,0.098039,2.5882,0.17647,19.863
-37.8,-0.21569,3.2157,-0.13725,19.863
-37.6,0.17647,3.2157,0.17647,19.863
-37.4,-0.058824,3.2157,0.17647,19.863
-37.2,-0.21569,2.902,0.019608,19.706
-37,0.019608,2.902,0.019608,19.863
-36.8,-0.058824,3.2157,0.019608,19.627
-36.6,0.17647,3.2157,0.098039,19.706
-36.4,0.098039,2.902,-0.058824,19.784
-36.2,0.17647,3.2157,0.2549,19.706
-36,0.2549,3.2157,-0.058824,19.627
-35.8,0.17647,2.902,0.098039,19.863
-35.6,0.098039,3.2157,0.098039,19.627
-35.4,0.17647,2.5882,0.098039,19.627
-35.2,0.019608,2.5882,0.019608,19.706
-35,0.17647,2.902,0.098039,19.706
-34.8,-0.058824,3.2157,-0.13725,19.627
-34.6,-0.058824,2.902,0.098039,19.471
-34.4,-0.058824,3.2157,-0.13725,19.549
-34.2,0.098039,3.2157,-0.058824,19.627
-34,-0.29412,2.902,-0.13725,19.157
-33.8,0.019608,2.902,-0.13725,19.549
-33.6,-0.37255,3.5294,-0.29412,19.627
-33.4,-0.21569,3.5294,-0.21569,19.627
-33.2,-0.45098,3.5294,-0.37255,19.471
-33,-0.21569,3.2157,-0.13725,20.725
-32.8,-0.37255,3.2157,-0.45098,19.392
-32.6,-0.45098,3.2157,-0.37255,19.314
-32.4,-0.13725,3.2157,-0.13725,19.471
-32.2,-0.13725,3.2157,-0.13725,19.157
-32,-0.45098,3.5294,-0.37255,19.314
-31.8,-0.21569,3.5294,-0.21569,19.392
-31.6,-0.45098,2.902,-0.45098,19.627
-31.4,-0.60784,2.902,-0.29412,20.412
-31.2,-0.29412,2.902,-0.37255,21.275
-31,-0.45098,2.902,-0.37255,21.98
-30.8,-0.13725,2.902,-0.29412,22.529
-30.6,0.098039,2.902,0.019608,23.078
-30.4,0.2549,2.5882,0.17647,23.706
-30.2,0.41176,2.902,0.019608,24.333
-30,0.72549,2.5882,0.41176,24.725
-29.8,0.80392,3.2157,0.33333,25.275
-29.6,0.96078,2.5882,0.4902,26.294
-29.4,1.1961,2.5882,0.4902,29.118
-29.2,1.0392,2.2745,0.41176,30.922
-29,1.2745,1.9608,0.64706,30.922
-28.8,1.0392,2.902,0.4902,30.922
-28.6,0.96078,1.9608,0.56863,30.059
-28.4,1.1961,2.5882,0.72549,30.922
-28.2,0.88235,2.5882,0.33333,30.922
-28,0.64706,1.9608,0.33333,31.078
-27.8,0.41176,2.2745,0.2549,31
-27.6,0.4902,1.6471,0.41176,31
-27.4,0.098039,2.2745,0.098039,31
-27.2,0.2549,2.2745,0.17647,31.078
-27,0.2549,2.5882,0.098039,30.922
-26.8,0.098039,2.902,0.2549,31
-26.6,-0.058824,2.2745,-0.058824,31
-26.4,-0.13725,2.5882,-0.21569,30.922
-26.2,0.098039,2.2745,0.019608,30.922
-26,0.17647,2.2745,-0.058824,30.922
-25.8,0.098039,2.5882,0.019608,30.922
-25.6,0.17647,2.902,0.098039,30.922
-25.4,0.17647,2.902,0.098039,31
-25.2,0.17647,2.2745,0.098039,31
-25,-0.21569,2.2745,-0.13725,30.686
-24.8,-0.29412,2.2745,-0.21569,31
-24.6,-0.68627,2.5882,-0.52941,31.078
-24.4,-0.92157,2.2745,-0.68627,30.922
-24.2,-0.76471,2.5882,-0.45098,31.078
-24,-0.84314,2.2745,-0.52941,31
-23.8,-0.45098,2.5882,-0.45098,31.078
-23.6,-0.84314,2.5882,-0.45098,30.922
-23.4,-0.45098,2.5882,-0.45098,31
-23.2,-0.52941,2.5882,-0.21569,30.843
-23,-0.68627,2.902,-0.45098,31
-22.8,-0.52941,2.5882,-0.29412,31
-22.6,-0.29412,2.5882,-0.29412,30.922
-22.4,-0.37255,2.5882,-0.29412,30.922
-22.2,-0.37255,2.5882,-0.21569,30.922
-22,-0.60784,1.9608,-0.37255,30.922
-21.8,-0.29412,2.902,-0.21569,31.078
