Model,RTH1004
SerialNumber,103234
Firmware Version,'1.60.3.3'

Waveform Time Stamp,2019-11-22 23:31:10.336,2019-11-22 23:31:10.336,2019-11-22 23:31:10.336,2019-11-22 23:31:10.336
Waveform Type,ANALOG,,,
Acquisition Mode,SAMPLE,,,
Horizontal Unit,s,,,
Horizontal Scale,20,,,
Horizontal Position,0,,,
Reference Point,10 %,,,
Sample Interval,0.08,,,
Record Length,2500,,,
Probe Setting,'10:1','10 mV/A','10:1','10:1'
Vertical Unit,V,A,V,V
Vertical Scale,2,20,2,2
Vertical Position,-3,-3,-3,-3
Vertical Offset,0,0,0,0
History Index,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,
TIME,CH1,CH2,CH3,CH4
-20,12.776,0.39216,12.839,12.839
-19.92,12.776,0.078431,12.776,12.871
-19.84,12.839,0.078431,12.808,12.839
-19.76,12.808,0.39216,12.808,12.839
-19.68,12.839,0.39216,12.871,12.933
-19.6,12.808,-0.23529,12.871,12.839
-19.52,12.808,0.39216,12.808,12.839
-19.44,12.839,0.078431,12.808,12.871
-19.36,12.839,0.39216,12.839,12.745
-19.28,12.776,-0.23529,12.871,12.808
-19.2,12.808,0.70588,12.808,12.808
-19.12,12.808,0.39216,12.808,12.839
-19.04,12.871,0.39216,12.776,12.871
-18.96,12.839,0.078431,12.808,12.871
-18.88,12.808,0.078431,12.871,12.776
-18.8,12.776,-0.23529,12.776,12.776
-18.72,12.745,0.078431,12.839,12.808
-18.64,12.745,0.078431,12.776,12.808
-18.56,12.808,-0.23529,12.839,12.776
-18.48,12.776,0.39216,12.871,12.871
-18.4,12.839,0.078431,12.902,12.839
-18.32,12.808,0.39216,12.871,12.902
-18.24,12.871,-0.23529,12.839,12.839
-18.16,12.808,-0.23529,12.871,12.871
-18.08,12.808,-0.23529,12.839,12.808
-18,12.745,0.078431,12.902,12.839
-17.92,12.839,0.39216,12.776,12.871
-17.84,12.871,0.078431,12.745,12.871
-17.76,12.745,0.39216,12.808,12.839
-17.68,12.839,0.39216,12.839,12.776
-17.6,12.808,0.078431,12.871,12.808
-17.52,12.808,-0.23529,12.808,12.839
-17.44,12.776,-0.23529,12.776,12.808
-17.36,12.745,0.39216,12.871,12.745
-17.28,12.776,0.078431,12.839,12.839
-17.2,12.808,0.39216,12.839,12.839
-17.12,12.808,0.39216,12.839,12.839
-17.04,12.808,1.0196,12.902,12.808
-16.96,12.839,-0.23529,12.839,12.871
-16.88,12.839,0.078431,12.808,12.871
-16.8,12.871,0.078431,12.839,12.839
-16.72,12.871,0.70588,12.808,12.871
-16.64,12.776,0.39216,12.839,12.776
-16.56,12.776,0.078431,12.839,12.839
-16.48,12.776,0.70588,12.808,12.776
-16.4,12.839,0.078431,12.808,12.776
-16.32,12.776,-0.54902,12.808,12.871
-16.24,12.776,0.078431,12.776,12.808
-16.16,12.808,0.078431,12.839,12.902
-16.08,12.745,-0.23529,12.808,12.776
-16,12.745,0.078431,12.808,12.745
-15.92,12.776,0.39216,12.776,12.902
-15.84,12.839,0.39216,12.776,12.871
-15.76,12.776,0.078431,12.902,12.808
-15.68,12.776,0.39216,12.776,12.808
-15.6,12.839,0.078431,12.839,12.871
-15.52,12.745,0.078431,12.776,12.808
-15.44,12.808,0.078431,12.808,12.871
-15.36,12.808,0.078431,12.808,12.871
-15.28,12.776,0.70588,12.871,12.839
-15.2,12.839,-0.23529,12.808,12.839
-15.12,12.776,0.078431,12.839,12.902
-15.04,12.839,0.70588,12.808,12.776
-14.96,12.839,0.39216,12.871,12.933
-14.88,12.808,-0.23529,12.871,12.839
-14.8,12.808,0.39216,12.808,12.902
-14.72,12.776,-0.23529,12.745,12.808
-14.64,12.745,0.078431,12.839,12.776
-14.56,12.808,0.078431,12.839,12.808
-14.48,12.808,0.39216,12.808,12.839
-14.4,12.714,-0.23529,12.839,12.871
-14.32,12.776,0.39216,12.745,12.839
-14.24,12.776,0.078431,12.776,12.839
-14.16,12.808,0.39216,12.871,12.902
-14.08,12.776,0.39216,12.839,12.808
-14,12.808,0.078431,12.808,12.902
-13.92,12.839,0.39216,12.839,12.871
-13.84,12.808,0.39216,12.839,12.839
-13.76,12.776,0.078431,12.871,12.902
-13.68,12.745,0.078431,12.776,12.839
-13.6,12.902,0.39216,12.745,12.871
-13.52,12.839,0.39216,12.808,12.808
-13.44,12.839,0.39216,12.776,12.808
-13.36,12.776,-0.23529,12.871,12.839
-13.28,12.745,0.078431,12.808,12.808
-13.2,12.745,0.39216,12.808,12.808
-13.12,12.839,0.39216,12.808,12.902
-13.04,12.776,0.078431,12.808,12.839
-12.96,12.776,0.39216,12.871,12.839
-12.88,12.839,0.39216,12.871,12.871
-12.8,12.776,0.078431,12.839,12.839
-12.72,12.808,-0.23529,12.871,12.776
-12.64,12.808,0.39216,12.839,12.902
-12.56,12.745,-0.23529,12.808,12.871
-12.48,12.808,0.078431,12.839,12.902
-12.4,12.839,0.078431,12.839,12.839
-12.32,12.839,0.078431,12.808,12.808
-12.24,12.871,0.078431,12.871,12.871
-12.16,12.839,0.078431,12.776,12.871
-12.08,12.839,0.39216,12.776,12.808
-12,12.776,0.70588,12.871,12.808
-11.92,12.714,0.39216,12.839,12.776
-11.84,12.745,0.39216,12.871,12.839
-11.76,12.776,0.70588,12.839,12.808
-11.68,12.839,0.078431,12.808,12.839
-11.6,12.808,0.70588,12.839,12.808
-11.52,12.776,-0.23529,12.808,12.808
-11.44,12.808,-0.23529,12.776,12.808
-11.36,12.808,0.39216,12.808,12.839
-11.28,12.776,0.39216,12.776,12.839
-11.2,12.808,0.39216,12.808,12.808
-11.12,12.871,0.078431,12.871,12.871
-11.04,12.808,0.39216,12.808,12.776
-10.96,12.808,0.39216,12.839,12.902
-10.88,12.776,0.078431,12.776,12.839
-10.8,12.776,0.078431,12.839,12.871
-10.72,12.808,0.078431,12.871,12.871
-10.64,12.776,0.39216,12.808,12.839
-10.56,12.808,-0.54902,12.808,12.839
-10.48,12.839,0.39216,12.808,12.839
-10.4,12.776,0.70588,12.871,12.902
-10.32,12.808,-0.23529,12.808,12.933
-10.24,12.839,-0.23529,12.776,12.808
-10.16,12.871,0.70588,12.839,12.871
-10.08,12.808,0.078431,12.776,12.745
-10,12.808,-0.23529,12.808,12.933
-9.92,12.745,0.39216,12.839,12.808
-9.84,12.776,0.078431,12.839,12.808
-9.76,12.776,-0.23529,12.965,12.808
-9.68,12.839,-0.54902,12.776,12.839
-9.6,12.745,0.39216,12.839,12.776
-9.52,12.839,0.70588,12.808,12.902
-9.44,12.808,0.078431,12.776,12.808
-9.36,12.808,-0.23529,12.808,12.808
-9.28,12.776,0.078431,12.839,12.839
-9.2,12.776,-0.54902,12.839,12.839
-9.12,12.776,0.39216,12.745,12.839
-9.04,12.776,0.39216,12.808,12.839
-8.96,12.745,0.078431,12.776,12.871
-8.88,12.745,0.078431,12.682,12.776
-8.8,12.808,-0.23529,12.871,12.808
-8.72,12.871,0.39216,12.808,12.839
-8.64,12.776,0.39216,12.839,12.839
-8.56,12.808,0.078431,12.808,12.871
-8.48,12.808,0.078431,12.839,12.839
-8.4,12.808,0.078431,12.871,12.839
-8.32,12.839,-0.23529,12.871,12.839
-8.24,12.808,0.70588,12.871,12.871
-8.16,12.808,-0.23529,12.839,12.839
-8.08,12.776,0.078431,12.808,12.839
-8,12.808,0.078431,12.839,12.839
-7.92,12.776,0.70588,12.839,12.808
-7.84,12.808,0.078431,12.776,12.839
-7.76,12.839,0.39216,12.808,12.839
-7.68,12.808,-0.23529,12.808,12.871
-7.6,12.808,0.39216,12.871,12.871
-7.52,12.808,0.078431,12.839,12.839
