desired_final_SOC,achieved_final_SOC,esc_d,error,race_duration,irradiation
0.9500000000000001,0.9446978893197063,0.2666666666666666,-0.005302110680293737,0 days 02:00:00,180.0
0.9500000000000001,0.9434376235521654,0.29166666666666674,-0.006562376447834639,0 days 02:00:00,240.0
0.9500000000000001,0.956817711329592,0.30833333333333335,0.006817711329591969,0 days 02:00:00,300.0
0.9500000000000001,0.9523908331690971,0.32916666666666666,0.002390833169097051,0 days 02:00:00,360.0
0.9500000000000001,0.9417594482891319,0.35,-0.008240551710868127,0 days 02:00:00,420.0
0.9500000000000001,0.9531652758153106,0.36249999999999993,0.0031652758153105642,0 days 02:00:00,480.0
0.9500000000000001,0.9473542768039472,0.37916666666666654,-0.0026457231960528294,0 days 02:00:00,540.0
0.9500000000000001,0.9523270414834467,0.3916666666666665,0.0023270414834466457,0 days 02:00:00,600.0
0.9500000000000001,0.9497917339378168,0.40555555555555545,-0.00020826606218327104,0 days 02:00:00,660.0
0.9500000000000001,0.9545363312509033,0.41666666666666663,0.004536331250903247,0 days 02:00:00,720.0
0.9500000000000001,0.9571857874812257,0.4277777777777777,0.0071857874812256695,0 days 02:00:00,780.0
0.9500000000000001,0.9579416343559417,0.4388888888888889,0.00794163435594164,0 days 02:00:00,840.0
0.9500000000000001,0.9569811152302541,0.44999999999999996,0.00698111523025402,0 days 02:00:00,900.0
0.9500000000000001,0.9544450152716923,0.46111111111111114,0.004445015271692276,0 days 02:00:00,960.0
0.9500000000000001,0.9504507868646318,0.4722222222222222,0.0004507868646317359,0 days 02:00:00,1020.0
0.9500000000000001,0.9450879515835541,0.4833333333333334,-0.004912048416445991,0 days 02:00:00,1080.0
0.9500000000000001,0.958936799171759,0.48888888888888893,0.008936799171758936,0 days 02:00:00,1140.0
0.9500000000000001,0.9514273336291504,0.5,0.0014273336291503735,0 days 02:00:00,1200.0
0.9500000000000001,0.9598287895145494,0.11666666666666667,0.009828789514549352,0 days 02:30:00,0.0
0.9500000000000001,0.9535015302160419,0.18888888888888883,0.003501530216041826,0 days 02:30:00,60.0
0.9500000000000001,0.9428750497205166,0.23333333333333334,-0.007124950279483455,0 days 02:30:00,120.0
0.9500000000000001,0.9492032188945279,0.26111111111111107,-0.0007967811054722107,0 days 02:30:00,180.0
0.9500000000000001,0.9412585782171908,0.28888888888888886,-0.008741421782809233,0 days 02:30:00,240.0
0.9500000000000001,0.948926273592912,0.30833333333333335,-0.001073726407088027,0 days 02:30:00,300.0
0.9500000000000001,0.9587807713746733,0.325,0.008780771374673257,0 days 02:30:00,360.0
0.9500000000000001,0.9476241072605505,0.3458333333333333,-0.0023758927394496032,0 days 02:30:00,420.0
0.9500000000000001,0.9459149199926249,0.36249999999999993,-0.004085080007375175,0 days 02:30:00,480.0
0.9500000000000001,0.9556899549914634,0.3749999999999999,0.005689954991463297,0 days 02:30:00,540.0
0.9500000000000001,0.945706264538772,0.3916666666666665,-0.004293735461228021,0 days 02:30:00,600.0
0.9500000000000001,0.9431473868037457,0.40555555555555545,-0.006852613196254409,0 days 02:30:00,660.0
0.9500000000000001,0.9489045154096171,0.41666666666666663,-0.0010954845903830002,0 days 02:30:00,720.0
0.9500000000000001,0.9522009397633604,0.4277777777777777,0.0022009397633603323,0 days 02:30:00,780.0
0.9500000000000001,0.9533153020038537,0.4388888888888889,0.0033153020038536596,0 days 02:30:00,840.0
0.9500000000000001,0.9524817307557215,0.44999999999999996,0.002481730755721445,0 days 02:30:00,900.0
0.9500000000000001,0.9498829470233359,0.46111111111111114,-0.00011705297666420034,0 days 02:30:00,960.0
0.9500000000000001,0.9456629492057462,0.4722222222222222,-0.004337050794253838,0 days 02:30:00,1020.0
0.9500000000000001,0.9512766501892989,0.4805555555555556,0.0012766501892987892,0 days 02:30:00,1080.0
0.9500000000000001,0.9554869583811137,0.48888888888888893,0.005486958381113682,0 days 02:30:00,1140.0
0.9500000000000001,0.9474060526143655,0.5,-0.002593947385634565,0 days 02:30:00,1200.0
0.9500000000000001,0.9574985964824027,0.1111111111111111,0.007498596482402586,0 days 03:00:00,0.0
0.9500000000000001,0.9450042794692255,0.18888888888888883,-0.004995720530774572,0 days 03:00:00,60.0
0.9500000000000001,0.9488391200667352,0.22777777777777777,-0.0011608799332648578,0 days 03:00:00,120.0
0.9500000000000001,0.959005348546186,0.25555555555555554,0.009005348546185954,0 days 03:00:00,180.0
0.9500000000000001,0.9524505436386504,0.2833333333333333,0.002450543638650382,0 days 03:00:00,240.0
0.9500000000000001,0.9418429393995039,0.30833333333333335,-0.008157060600496147,0 days 03:00:00,300.0
0.9500000000000001,0.9535154048603062,0.325,0.003515404860306104,0 days 03:00:00,360.0
0.9500000000000001,0.9583363269813836,0.3416666666666667,0.008336326981383535,0 days 03:00:00,420.0
0.9500000000000001,0.9572696860440232,0.3583333333333333,0.007269686044023116,0 days 03:00:00,480.0
0.9500000000000001,0.9510750364318704,0.37499999999999994,0.0010750364318703465,0 days 03:00:00,540.0
0.9500000000000001,0.9402804955572446,0.3916666666666665,-0.009719504442755489,0 days 03:00:00,600.0
