desired_final_SOC,achieved_final_SOC,esc_d,error,race_duration,irradiation
0.0,0.7470831928367435,1.0,0.7470831928367435,0 days 00:05:00,0.0
0.0,0.749733527105285,1.0,0.749733527105285,0 days 00:05:00,60.0
0.0,0.752359882500773,1.0,0.752359882500773,0 days 00:05:00,120.0
0.0,0.7549628981344083,1.0,0.7549628981344083,0 days 00:05:00,180.0
0.0,0.7575432775688775,1.0,0.7575432775688775,0 days 00:05:00,240.0
0.0,0.7601011272685902,1.0,0.7601011272685902,0 days 00:05:00,300.0
0.0,0.7626371492729969,1.0,0.7626371492729969,0 days 00:05:00,360.0
0.0,0.7651517910319083,1.0,0.7651517910319083,0 days 00:05:00,420.0
0.0,0.7676455049555251,1.0,0.7676455049555251,0 days 00:05:00,480.0
0.0,0.7701184855725265,1.0,0.7701184855725265,0 days 00:05:00,540.0
0.0,0.7725718885222175,1.0,0.7725718885222175,0 days 00:05:00,600.0
0.0,0.775005385441771,1.0,0.775005385441771,0 days 00:05:00,660.0
0.0,0.7774196135122521,1.0,0.7774196135122521,0 days 00:05:00,720.0
0.0,0.7798149610416054,1.0,0.7798149610416054,0 days 00:05:00,780.0
0.0,0.7821917752411813,1.0,0.7821917752411813,0 days 00:05:00,840.0
0.0,0.7845504164604262,1.0,0.7845504164604262,0 days 00:05:00,900.0
0.0,0.7868912306793121,1.0,0.7868912306793121,0 days 00:05:00,960.0
0.0,0.7892145458844373,1.0,0.7892145458844373,0 days 00:05:00,1020.0
0.0,0.7915206719678767,1.0,0.7915206719678767,0 days 00:05:00,1080.0
0.0,0.7938099925191306,1.0,0.7938099925191306,0 days 00:05:00,1140.0
0.0,0.7960827298293462,1.0,0.7960827298293462,0 days 00:05:00,1200.0
0.0,0.2883331321504975,1.0,0.2883331321504975,0 days 00:15:00,0.0
0.0,0.2958631059891136,1.0,0.2958631059891136,0 days 00:15:00,60.0
0.0,0.3033220714689648,1.0,0.3033220714689648,0 days 00:15:00,120.0
0.0,0.3107201689827197,1.0,0.3107201689827197,0 days 00:15:00,180.0
0.0,0.3180568554922662,1.0,0.3180568554922662,0 days 00:15:00,240.0
0.0,0.3253405287424288,1.0,0.3253405287424288,0 days 00:15:00,300.0
0.0,0.332569398576896,1.0,0.332569398576896,0 days 00:15:00,360.0
0.0,0.3397456963356657,1.0,0.3397456963356657,0 days 00:15:00,420.0
0.0,0.3468712456175818,1.0,0.3468712456175818,0 days 00:15:00,480.0
0.0,0.3539497119257849,1.0,0.3539497119257849,0 days 00:15:00,540.0
0.0,0.3609761539106001,1.0,0.3609761539106001,0 days 00:15:00,600.0
0.0,0.3679582785199772,1.0,0.3679582785199772,0 days 00:15:00,660.0
0.0,0.3748951856032654,1.0,0.3748951856032654,0 days 00:15:00,720.0
0.0,0.3817879113766874,1.0,0.3817879113766874,0 days 00:15:00,780.0
0.0,0.38863776215733,1.0,0.38863776215733,0 days 00:15:00,840.0
0.0,0.3954455844897832,1.0,0.3954455844897832,0 days 00:15:00,900.0
0.0,0.4022122817066182,1.0,0.4022122817066182,0 days 00:15:00,960.0
0.0,0.40893876218866,1.0,0.40893876218866,0 days 00:15:00,1020.0
0.0,0.4156257736257366,1.0,0.4156257736257366,0 days 00:15:00,1080.0
0.0,0.4222740026843447,1.0,0.4222740026843447,0 days 00:15:00,1140.0
0.0,0.4288842842897881,1.0,0.4288842842897881,0 days 00:15:00,1200.0
0.0,0.0003779879466035,0.8777777777777778,0.0003779879466035,0 days 00:30:00,0.0
0.0,-0.0019792611667297,0.8888888888888888,-0.0019792611667297,0 days 00:30:00,60.0
0.0,-0.0044264775551429,0.8999999999999999,-0.0044264775551429,0 days 00:30:00,120.0
0.0,-0.0069505010255568,0.9111111111111112,-0.0069505010255568,0 days 00:30:00,180.0
0.0,0.0048736914546135,0.9111111111111112,0.0048736914546135,0 days 00:30:00,240.0
0.0,0.0019367653223023,0.9222222222222224,0.0019367653223023,0 days 00:30:00,300.0
0.0,-0.0010370156159672,0.9333333333333332,-0.0010370156159672,0 days 00:30:00,360.0
0.0,0.0046352058465546,0.9375,0.0046352058465546,0 days 00:30:00,420.0
0.0,-0.0002806531318172,0.95,-0.0002806531318172,0 days 00:30:00,480.0
0.0,-0.0051206317387696,0.9625,-0.0051206317387696,0 days 00:30:00,540.0
0.0,-0.0098730562123242,0.975,-0.0098730562123242,0 days 00:30:00,600.0
0.0,-9.115569963382232e-05,0.975,-9.115569963382232e-05,0 days 00:30:00,660.0
0.0,0.0095766758688054,0.975,0.0095766758688054,0 days 00:30:00,720.0
0.0,-0.0099164959041313,1.0,-0.0099164959041313,0 days 00:30:00,780.0
0.0,-0.0008345945432221,1.0,-0.0008345945432221,0 days 00:30:00,840.0
0.0,0.0081536714119188,1.0,0.0081536714119188,0 days 00:30:00,900.0
0.0,0.0170607293090752,1.0,0.0170607293090752,0 days 00:30:00,960.0
0.0,0.0258910883249405,1.0,0.0258910883249405,0 days 00:30:00,1020.0
0.0,0.0346578477147186,1.0,0.0346578477147186,0 days 00:30:00,1080.0
0.0,0.0433633394422397,1.0,0.0433633394422397,0 days 00:30:00,1140.0
0.0,0.0520169010812961,1.0,0.0520169010812961,0 days 00:30:00,1200.0
0.0,0.0066430702827288,0.7194444444444441,0.0066430702827288,0 days 00:45:00,0.0
0.0,-0.0091129449134817,0.7388888888888887,-0.0091129449134817,0 days 00:45:00,60.0
0.0,0.0099485269529004,0.7388888888888887,0.0099485269529004,0 days 00:45:00,120.0
