V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
0.771,0.101,0.312,5.476,0.004,4.328,0.801,3.527,0.001,0.329
0.781,0.102,0.316,5.600,0.004,4.313,0.795,3.519,0.001,0.338
0.791,0.103,0.320,5.726,0.005,4.299,0.789,3.510,0.001,0.347
0.801,0.104,0.324,5.853,0.005,4.285,0.784,3.502,0.001,0.356
0.811,0.106,0.328,5.980,0.005,4.271,0.778,3.493,0.001,0.365
0.821,0.107,0.332,6.112,0.005,4.259,0.773,3.486,-0.000,0.338
0.831,0.108,0.336,6.243,0.005,4.246,0.768,3.478,-0.000,0.347
0.841,0.110,0.341,6.375,0.005,4.234,0.763,3.471,-0.000,0.356
0.851,0.111,0.345,6.507,0.006,4.220,0.758,3.462,0.001,0.352
0.861,0.112,0.349,6.641,0.006,4.208,0.754,3.454,0.001,0.362
0.871,0.114,0.353,6.777,0.006,4.196,0.749,3.446,0.001,0.372
0.881,0.115,0.357,6.915,0.006,4.184,0.745,3.439,0.001,0.381
0.891,0.116,0.361,7.054,0.006,4.173,0.741,3.432,0.001,0.379
0.901,0.118,0.365,7.194,0.006,4.162,0.737,3.425,0.001,0.389
0.911,0.119,0.369,7.335,0.007,4.151,0.733,3.418,0.001,0.398
0.921,0.120,0.373,7.669,0.007,4.246,0.835,3.411,0.001,0.408
0.931,0.121,0.377,7.813,0.007,4.233,0.829,3.404,0.001,0.418
0.941,0.123,0.381,7.958,0.007,4.220,0.823,3.397,0.001,0.428
0.951,0.124,0.385,8.104,0.008,4.208,0.818,3.390,0.001,0.438
0.961,0.125,0.389,8.251,0.008,4.195,0.812,3.383,0.001,0.448
0.971,0.127,0.393,8.400,0.008,4.183,0.807,3.377,0.001,0.458
0.981,0.128,0.397,8.550,0.008,4.172,0.801,3.370,0.001,0.467
0.991,0.129,0.401,8.702,0.009,4.160,0.796,3.364,0.001,0.477
1.001,0.131,0.405,8.854,0.009,4.149,0.791,3.358,0.001,0.487
1.011,0.132,0.409,9.008,0.009,4.138,0.787,3.351,0.001,0.497
1.021,0.133,0.414,9.164,0.009,4.127,0.782,3.345,0.001,0.508
1.031,0.134,0.418,9.320,0.010,4.117,0.777,3.339,0.001,0.518
1.041,0.136,0.422,9.478,0.010,4.106,0.773,3.333,0.001,0.528
1.051,0.137,0.426,9.633,0.010,4.094,0.768,3.326,0.001,0.539
1.061,0.138,0.430,9.793,0.010,4.084,0.764,3.320,0.001,0.549
1.071,0.140,0.434,9.954,0.011,4.074,0.760,3.315,0.001,0.560
1.081,0.141,0.438,10.35,0.011,4.158,0.849,3.309,0.001,0.570
1.091,0.142,0.442,10.51,0.011,4.146,0.843,3.303,0.001,0.581
1.101,0.144,0.446,10.68,0.012,4.135,0.838,3.298,0.001,0.591
1.111,0.145,0.450,10.85,0.012,4.125,0.832,3.292,0.000,0.588
1.121,0.146,0.454,11.01,0.012,4.114,0.827,3.287,0.000,0.599
1.131,0.148,0.458,11.18,0.013,4.103,0.822,3.281,0.000,0.609
1.141,0.149,0.462,11.35,0.013,4.093,0.817,3.276,0.000,0.620
1.151,0.150,0.466,11.52,0.013,4.083,0.812,3.271,0.000,0.630
1.161,0.151,0.470,11.70,0.014,4.073,0.808,3.265,0.002,0.611
1.171,0.153,0.474,11.87,0.014,4.063,0.803,3.260,0.002,0.622
1.181,0.154,0.478,12.04,0.014,4.053,0.799,3.255,0.002,0.632
1.191,0.155,0.482,12.22,0.015,4.044,0.794,3.250,0.002,0.643
1.201,0.157,0.486,12.40,0.015,4.034,0.790,3.245,0.002,0.654
1.211,0.158,0.491,12.58,0.015,4.025,0.786,3.240,0.002,0.665
1.221,0.159,0.495,12.76,0.016,4.016,0.781,3.235,0.002,0.676
1.231,0.161,0.499,12.94,0.016,4.007,0.777,3.230,0.002,0.686
1.241,0.162,0.503,13.12,0.016,3.999,0.773,3.225,0.002,0.697
1.251,0.163,0.507,13.30,0.017,3.990,0.770,3.220,0.002,0.708
1.261,0.165,0.511,13.49,0.017,3.981,0.766,3.216,0.002,0.719
1.271,0.166,0.515,13.68,0.017,3.973,0.762,3.211,0.002,0.730
1.281,0.167,0.519,13.86,0.018,3.965,0.758,3.206,0.002,0.741
1.291,0.168,0.523,14.05,0.018,3.957,0.755,3.202,0.002,0.752
1.301,0.170,0.527,14.24,0.019,3.949,0.751,3.197,0.002,0.762
1.311,0.171,0.531,14.43,0.019,3.941,0.748,3.193,0.002,0.773
1.321,0.172,0.535,14.62,0.019,3.933,0.745,3.188,0.002,0.784
1.331,0.174,0.539,14.82,0.020,3.926,0.742,3.184,0.002,0.795
1.341,0.175,0.543,15.01,0.020,3.918,0.739,3.179,0.002,0.806
1.351,0.176,0.547,15.21,0.021,3.910,0.736,3.174,0.002,0.817
1.361,0.178,0.551,15.41,0.021,3.903,0.733,3.170,0.002,0.827
1.371,0.179,0.555,15.60,0.021,3.896,0.730,3.166,0.002,0.838
1.381,0.180,0.559,15.81,0.022,3.889,0.727,3.161,0.002,0.849
1.391,0.181,0.564,16.01,0.022,3.882,0.725,3.157,0.002,0.860
1.401,0.183,0.568,16.21,0.023,3.876,0.723,3.153,0.002,0.871
1.411,0.184,0.572,16.42,0.023,3.871,0.722,3.149,0.002,0.881
1.421,0.185,0.576,16.64,0.024,3.866,0.721,3.145,0.002,0.892
1.431,0.187,0.580,16.86,0.024,3.863,0.721,3.142,-0.002,0.797
1.441,0.188,0.584,17.08,0.025,3.861,0.722,3.139,-0.007,0.692
1.451,0.189,0.588,17.31,0.025,3.858,0.721,3.137,-0.010,0.644
1.461,0.191,0.592,17.53,0.026,3.853,0.720,3.134,-0.013,0.586
1.471,0.192,0.596,17.73,0.026,3.845,0.714,3.130,-0.014,0.585
1.481,0.193,0.600,17.95,0.027,3.840,0.713,3.127,-0.018,0.544
1.491,0.195,0.604,18.17,0.027,3.835,0.711,3.125,-0.021,0.502
1.502,0.196,0.608,18.37,0.028,3.827,0.706,3.120,-0.022,0.483
1.512,0.197,0.612,18.59,0.028,3.820,0.703,3.117,-0.023,0.498
1.522,0.198,0.616,18.81,0.029,3.814,0.700,3.114,-0.026,0.456
1.532,0.200,0.620,19.01,0.029,3.806,0.697,3.109,-0.027,0.468
1.542,0.201,0.624,19.23,0.030,3.799,0.693,3.106,-0.030,0.418
1.552,0.202,0.628,19.45,0.030,3.794,0.691,3.103,-0.033,0.366
1.562,0.204,0.632,19.68,0.031,3.789,0.689,3.100,-0.033,0.364
1.572,0.205,0.636,19.91,0.031,3.785,0.688,3.097,-0.036,0.313
1.582,0.206,0.641,20.14,0.032,3.781,0.687,3.094,-0.037,0.318
1.592,0.208,0.645,20.39,0.032,3.778,0.688,3.091,-0.040,0.271
1.602,0.209,0.649,20.64,0.033,3.777,0.689,3.088,-0.041,0.269
1.612,0.210,0.653,20.95,0.034,3.787,0.693,3.094,-0.045,0.216
1.622,0.212,0.657,21.22,0.034,3.788,0.697,3.092,-0.045,0.193
1.632,0.213,0.661,21.48,0.035,3.788,0.699,3.088,-0.047,0.142
1.642,0.214,0.665,21.74,0.036,3.788,0.703,3.085,-0.048,0.132
1.652,0.215,0.669,22.02,0.036,3.790,0.708,3.082,-0.050,0.056
1.662,0.217,0.673,22.29,0.037,3.790,0.711,3.079,-0.051,0.044
1.672,0.218,0.677,22.56,0.038,3.790,0.715,3.075,-0.053,-0.010
1.682,0.219,0.681,22.83,0.038,3.791,0.719,3.072,-0.054,-0.024
