V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
3.353,0.437,1.358,118.9,0.399,4.965,1.911,3.054,0.519,-23.48
3.363,0.439,1.362,119.8,0.403,4.974,1.919,3.055,0.536,-23.66
3.373,0.440,1.366,120.7,0.407,4.982,1.921,3.060,0.547,-23.86
3.383,0.441,1.370,121.2,0.410,4.971,1.913,3.058,0.563,-24.07
3.393,0.443,1.374,122.2,0.415,4.981,1.924,3.057,0.579,-24.33
3.403,0.444,1.378,123.3,0.420,4.998,1.936,3.063,0.592,-24.56
3.413,0.445,1.382,123.8,0.423,4.989,1.927,3.062,0.606,-24.74
3.423,0.447,1.386,124.8,0.427,5.000,1.937,3.063,0.621,-24.97
3.433,0.448,1.391,125.5,0.431,4.997,1.934,3.062,0.634,-25.17
3.443,0.449,1.395,126.1,0.434,4.995,1.934,3.061,0.655,-25.36
3.453,0.450,1.399,127.4,0.440,5.014,1.949,3.065,0.671,-25.61
3.463,0.452,1.403,128.3,0.444,5.022,1.957,3.064,0.682,-25.78
3.473,0.453,1.407,128.9,0.448,5.017,1.954,3.063,0.680,-25.76
3.483,0.454,1.411,129.5,0.451,5.011,1.950,3.061,0.666,-25.62
3.493,0.456,1.415,130.1,0.455,5.007,1.947,3.059,0.666,-25.58
3.504,0.457,1.419,130.3,0.457,4.985,1.933,3.052,0.660,-25.48
3.514,0.458,1.423,131.5,0.462,5.000,1.943,3.057,0.677,-25.75
3.524,0.460,1.427,132.3,0.466,5.003,1.947,3.056,0.680,-25.78
3.534,0.461,1.431,132.7,0.469,4.992,1.939,3.053,0.660,-25.48
3.544,0.462,1.435,133.4,0.473,4.990,1.937,3.052,0.669,-25.61
3.554,0.464,1.439,133.4,0.474,4.961,1.917,3.044,0.663,-25.43
3.564,0.465,1.443,134.1,0.478,4.960,1.917,3.043,0.666,-25.46
3.574,0.466,1.447,134.7,0.482,4.954,1.913,3.041,0.669,-25.40
3.584,0.467,1.451,135.9,0.487,4.969,1.923,3.046,0.678,-25.56
3.594,0.469,1.455,135.9,0.488,4.940,1.903,3.037,0.663,-25.13
3.604,0.470,1.459,136.6,0.492,4.939,1.902,3.036,0.673,-25.27
3.614,0.471,1.464,137.9,0.498,4.959,1.918,3.042,0.684,-25.43
3.624,0.473,1.468,138.6,0.502,4.955,1.914,3.041,0.696,-25.43
3.634,0.474,1.472,139.2,0.506,4.951,1.911,3.040,0.679,-25.73
3.644,0.475,1.476,140.2,0.511,4.958,1.919,3.039,0.697,-25.78
3.654,0.477,1.480,140.7,0.514,4.947,1.908,3.039,0.709,-25.84
3.664,0.478,1.484,141.6,0.519,4.954,1.900,3.054,0.727,-25.86
3.674,0.479,1.488,142.5,0.523,4.956,1.904,3.052,0.739,-25.93
3.684,0.480,1.492,142.7,0.526,4.938,1.882,3.056,0.726,-26.28
3.694,0.482,1.496,143.4,0.530,4.936,1.885,3.051,0.748,-26.08
3.704,0.483,1.500,143.9,0.533,4.925,1.876,3.049,0.756,-26.17
3.714,0.484,1.504,144.8,0.538,4.931,1.884,3.047,0.766,-26.28
3.724,0.486,1.508,145.6,0.542,4.930,1.885,3.045,0.764,-26.09
3.734,0.487,1.512,146.3,0.546,4.926,1.884,3.042,0.775,-26.22
3.744,0.488,1.516,146.9,0.550,4.920,1.879,3.041,0.778,-26.19
3.754,0.490,1.520,147.3,0.553,4.908,1.868,3.040,0.785,-26.28
3.764,0.491,1.524,148.3,0.558,4.916,1.878,3.038,0.792,-26.35
3.774,0.492,1.528,149.0,0.562,4.911,1.873,3.038,0.801,-26.46
3.784,0.494,1.532,149.6,0.566,4.906,1.870,3.036,0.807,-26.53
3.794,0.495,1.536,149.2,0.566,4.868,1.849,3.019,0.815,-26.60
3.804,0.496,1.541,150.0,0.571,4.868,1.851,3.017,0.821,-26.67
3.814,0.497,1.545,151.1,0.576,4.877,1.853,3.024,0.827,-26.76
3.824,0.499,1.549,150.4,0.575,4.828,1.805,3.024,0.835,-26.82
3.834,0.500,1.553,151.0,0.579,4.825,1.803,3.022,0.842,-26.89
3.844,0.501,1.557,153.7,0.591,4.883,1.862,3.021,0.852,-26.98
3.854,0.503,1.561,152.7,0.588,4.827,1.808,3.019,0.872,-27.00
3.864,0.504,1.565,153.9,0.595,4.841,1.821,3.021,0.877,-27.12
3.874,0.505,1.569,154.5,0.599,4.835,1.816,3.020,0.884,-27.19
3.884,0.507,1.573,156.7,0.608,4.876,1.857,3.019,0.889,-27.29
3.894,0.508,1.577,157.9,0.615,4.890,1.864,3.026,0.900,-27.46
3.904,0.509,1.581,157.1,0.613,4.839,1.814,3.025,0.907,-27.53
3.914,0.511,1.585,158.9,0.622,4.869,1.859,3.010,0.900,-26.94
3.924,0.512,1.589,158.0,0.620,4.817,1.809,3.007,0.910,-26.96
3.934,0.513,1.593,158.8,0.625,4.817,1.809,3.007,0.916,-27.08
3.944,0.514,1.597,159.4,0.629,4.812,1.807,3.004,0.921,-27.05
3.954,0.516,1.601,160.1,0.633,4.808,1.805,3.004,0.927,-27.16
3.964,0.517,1.605,160.7,0.637,4.802,1.791,3.011,0.940,-27.15
3.974,0.518,1.609,161.4,0.642,4.799,1.790,3.010,0.944,-27.16
3.984,0.520,1.614,164.1,0.654,4.854,1.845,3.009,0.952,-27.24
3.994,0.521,1.618,164.3,0.656,4.835,1.829,3.006,0.967,-27.14
4.004,0.522,1.622,165.4,0.662,4.843,1.839,3.005,0.973,-27.14
4.014,0.524,1.626,165.9,0.666,4.836,1.834,3.001,0.973,-26.82
4.024,0.525,1.630,166.6,0.671,4.832,1.833,2.999,0.975,-26.75
4.034,0.526,1.634,167.2,0.675,4.825,1.830,2.995,0.986,-26.86
4.044,0.527,1.638,168.1,0.680,4.826,1.832,2.994,0.999,-26.89
4.054,0.529,1.642,168.6,0.683,4.816,1.823,2.993,1.006,-26.98
4.064,0.530,1.646,169.7,0.690,4.825,1.834,2.991,1.010,-27.00
4.074,0.531,1.650,170.1,0.693,4.811,1.813,2.998,1.022,-26.92
4.084,0.533,1.654,170.8,0.698,4.808,1.811,2.996,1.027,-27.00
4.094,0.534,1.658,171.4,0.702,4.800,1.807,2.993,1.033,-27.07
4.104,0.535,1.662,173.0,0.710,4.821,1.827,2.994,1.043,-27.11
4.114,0.537,1.666,173.0,0.712,4.800,1.808,2.993,1.048,-27.17
4.124,0.538,1.670,173.8,0.717,4.798,1.808,2.991,1.054,-27.11
4.134,0.539,1.674,174.9,0.723,4.805,1.817,2.988,1.062,-27.18
4.144,0.541,1.678,175.0,0.725,4.784,1.800,2.984,1.086,-27.07
4.154,0.542,1.682,175.8,0.730,4.784,1.802,2.981,1.094,-27.10
4.164,0.543,1.686,177.1,0.737,4.795,1.816,2.979,1.102,-27.16
4.174,0.544,1.691,177.7,0.742,4.788,1.810,2.978,1.108,-27.24
4.184,0.546,1.695,178.1,0.745,4.777,1.801,2.976,1.111,-27.25
4.194,0.547,1.699,179.0,0.751,4.778,1.804,2.974,1.116,-27.10
4.204,0.548,1.703,179.7,0.755,4.773,1.801,2.973,1.121,-27.15
4.214,0.550,1.707,180.1,0.759,4.762,1.790,2.972,1.127,-27.18
4.224,0.551,1.711,181.5,0.767,4.775,1.804,2.970,1.134,-27.25
4.234,0.552,1.715,181.8,0.770,4.761,1.792,2.969,1.140,-27.28
4.244,0.554,1.719,182.1,0.773,4.747,1.780,2.968,1.146,-27.31
4.254,0.555,1.723,182.8,0.778,4.741,1.776,2.966,1.152,-27.37
4.264,0.556,1.727,183.9,0.784,4.747,1.785,2.962,1.155,-27.05
4.274,0.558,1.731,184.2,0.787,4.734,1.764,2.970,1.164,-27.11
4.284,0.559,1.735,185.3,0.794,4.740,1.771,2.969,1.170,-27.15
4.294,0.560,1.739,185.9,0.798,4.732,1.768,2.964,1.175,-27.21
4.304,0.561,1.743,186.4,0.802,4.724,1.760,2.964,1.181,-27.25
4.314,0.563,1.747,187.6,0.809,4.733,1.769,2.964,1.187,-27.29
4.324,0.564,1.751,188.4,0.815,4.732,1.769,2.963,1.196,-27.38
4.334,0.565,1.755,189.0,0.819,4.724,1.763,2.961,1.208,-27.46
4.344,0.567,1.759,190.5,0.828,4.739,1.777,2.962,1.213,-27.52
4.354,0.568,1.764,191.1,0.832,4.733,1.773,2.960,1.217,-27.55
4.364,0.569,1.768,191.9,0.837,4.730,1.772,2.958,1.240,-27.49
4.374,0.571,1.772,192.5,0.842,4.725,1.768,2.957,1.246,-27.54
4.384,0.572,1.776,194.0,0.850,4.738,1.780,2.957,1.252,-27.93
4.394,0.573,1.780,194.4,0.854,4.726,1.770,2.956,1.259,-27.98
4.404,0.575,1.784,194.7,0.858,4.713,1.757,2.956,1.266,-28.09
4.414,0.576,1.788,196.1,0.866,4.725,1.761,2.964,1.272,-28.14
4.424,0.577,1.792,196.8,0.871,4.721,1.763,2.959,1.276,-27.88
4.434,0.578,1.796,197.6,0.876,4.718,1.762,2.955,1.287,-27.87
4.444,0.580,1.800,198.4,0.882,4.715,1.757,2.958,1.294,-28.27
4.454,0.581,1.804,199.3,0.888,4.715,1.758,2.958,1.302,-28.36
4.464,0.582,1.808,200.6,0.896,4.726,1.770,2.956,1.312,-28.44
4.474,0.584,1.812,200.8,0.898,4.709,1.754,2.955,1.317,-28.48
4.484,0.585,1.816,202.2,0.907,4.722,1.768,2.954,1.323,-28.53
4.494,0.586,1.820,202.5,0.910,4.706,1.754,2.953,1.329,-28.61
4.505,0.588,1.824,203.6,0.917,4.710,1.759,2.951,1.335,-28.66
4.515,0.589,1.828,203.9,0.921,4.698,1.750,2.948,1.332,-28.33
4.525,0.590,1.832,204.6,0.926,4.692,1.742,2.950,1.341,-28.71
4.535,0.591,1.836,205.7,0.933,4.696,1.750,2.947,1.343,-28.66
4.545,0.593,1.841,206.0,0.936,4.683,1.740,2.943,1.344,-28.37
4.555,0.594,1.845,207.1,0.943,4.687,1.745,2.943,1.352,-28.69
4.565,0.595,1.849,207.7,0.948,4.680,1.740,2.940,1.353,-28.37
4.575,0.597,1.853,208.2,0.952,4.672,1.733,2.938,1.357,-28.39
4.585,0.598,1.857,208.9,0.957,4.665,1.725,2.940,1.360,-28.81
4.595,0.599,1.861,210.0,0.965,4.671,1.731,2.939,1.365,-28.84
4.605,0.601,1.865,211.0,0.972,4.674,1.737,2.936,1.374,-28.88
4.615,0.602,1.869,211.7,0.977,4.667,1.734,2.933,1.378,-28.56
4.625,0.603,1.873,212.2,0.981,4.659,1.727,2.932,1.381,-28.45
4.635,0.605,1.877,213.4,0.989,4.666,1.733,2.933,1.386,-28.74
4.645,0.606,1.881,213.9,0.993,4.655,1.726,2.929,1.388,-28.50
4.655,0.607,1.885,214.2,0.997,4.642,1.712,2.930,1.398,-28.90
4.665,0.608,1.889,214.6,1.001,4.630,1.709,2.922,1.401,-28.10
4.675,0.610,1.893,215.8,1.009,4.637,1.716,2.921,1.403,-28.10
4.685,0.611,1.897,216.6,1.015,4.635,1.718,2.917,1.409,-28.12
4.695,0.612,1.901,217.4,1.021,4.631,1.716,2.915,1.411,-28.09
4.705,0.614,1.905,217.7,1.024,4.619,1.704,2.915,1.415,-28.10
4.715,0.615,1.909,219.2,1.034,4.630,1.717,2.913,1.422,-28.10
4.725,0.616,1.914,220.0,1.039,4.627,1.717,2.911,1.427,-28.12
4.735,0.618,1.918,220.3,1.043,4.614,1.705,2.909,1.432,-28.14
4.745,0.619,1.922,221.5,1.051,4.620,1.708,2.912,1.430,-27.61
4.755,0.620,1.926,222.3,1.057,4.618,1.706,2.912,1.438,-27.73
4.765,0.622,1.930,222.9,1.062,4.611,1.701,2.910,1.442,-27.78
4.775,0.623,1.934,225.6,1.077,4.647,1.734,2.913,1.450,-27.84
4.785,0.624,1.938,227.3,1.088,4.662,1.747,2.915,1.454,-27.88
4.795,0.625,1.942,228.3,1.095,4.663,1.751,2.912,1.467,-27.86
4.805,0.627,1.946,229.2,1.101,4.661,1.752,2.909,1.474,-27.91
4.815,0.628,1.950,229.9,1.107,4.657,1.749,2.908,1.479,-27.95
4.825,0.629,1.954,231.2,1.116,4.664,1.756,2.908,1.484,-27.99
4.835,0.631,1.958,232.0,1.122,4.660,1.753,2.907,1.488,-28.03
4.845,0.632,1.962,232.4,1.126,4.650,1.745,2.904,1.497,-28.04
4.855,0.633,1.966,233.3,1.132,4.647,1.744,2.903,1.506,-28.06
4.865,0.635,1.970,234.7,1.142,4.656,1.754,2.902,1.502,-28.01
4.875,0.636,1.974,235.5,1.148,4.653,1.752,2.901,1.509,-28.01
4.885,0.637,1.978,235.9,1.152,4.642,1.743,2.899,1.513,-28.03
4.895,0.638,1.982,236.8,1.159,4.640,1.742,2.897,1.518,-28.07
4.905,0.640,1.986,237.8,1.166,4.641,1.743,2.898,1.523,-28.12
4.915,0.641,1.991,238.6,1.173,4.638,1.734,2.904,1.530,-28.14
4.925,0.642,1.995,239.8,1.181,4.642,1.739,2.903,1.535,-28.18
4.935,0.644,1.999,240.6,1.187,4.638,1.736,2.903,1.539,-28.22
4.945,0.645,2.003,241.4,1.193,4.634,1.734,2.900,1.545,-28.24
4.955,0.646,2.007,241.7,1.197,4.621,1.724,2.898,1.549,-28.22
4.965,0.648,2.011,242.7,1.205,4.623,1.727,2.896,1.557,-28.26
4.975,0.649,2.015,243.4,1.211,4.618,1.723,2.895,1.562,-28.26
4.985,0.650,2.019,245.4,1.223,4.636,1.741,2.895,1.569,-28.32
4.995,0.652,2.023,246.8,1.233,4.644,1.748,2.896,1.575,-28.37
5.005,0.653,2.027,246.1,1.232,4.613,1.722,2.891,1.571,-28.20
5.015,0.654,2.031,247.9,1.243,4.628,1.736,2.892,1.578,-28.23
5.025,0.655,2.035,249.4,1.253,4.637,1.746,2.891,1.585,-28.25
5.035,0.657,2.039,249.7,1.257,4.624,1.733,2.891,1.587,-28.34
5.045,0.658,2.043,251.1,1.267,4.632,1.742,2.890,1.594,-28.38
5.055,0.659,2.047,251.2,1.270,4.615,1.730,2.885,1.594,-28.01
5.065,0.661,2.051,252.3,1.278,4.617,1.733,2.884,1.603,-28.04
5.075,0.662,2.055,253.3,1.286,4.617,1.734,2.883,1.608,-28.10
5.085,0.663,2.059,253.7,1.290,4.607,1.727,2.881,1.608,-27.99
5.095,0.665,2.064,254.7,1.298,4.606,1.727,2.879,1.615,-27.95
5.105,0.666,2.068,255.4,1.304,4.601,1.723,2.878,1.619,-27.96
5.115,0.667,2.072,256.2,1.310,4.597,1.720,2.877,1.623,-28.00
5.125,0.669,2.076,257.4,1.319,4.602,1.726,2.876,1.627,-28.03
5.135,0.670,2.080,258.1,1.325,4.596,1.722,2.874,1.631,-28.03
5.145,0.671,2.084,259.5,1.335,4.602,1.730,2.872,1.640,-28.00
5.155,0.672,2.088,259.9,1.340,4.591,1.719,2.871,1.645,-28.05
5.165,0.674,2.092,260.9,1.348,4.592,1.722,2.870,1.642,-27.88
5.175,0.675,2.096,261.1,1.351,4.577,1.710,2.867,1.649,-28.01
5.185,0.676,2.100,262.1,1.359,4.577,1.711,2.866,1.656,-28.05
5.195,0.678,2.104,263.4,1.368,4.582,1.718,2.864,1.665,-28.09
5.205,0.679,2.108,264.2,1.375,4.578,1.716,2.862,1.674,-28.18
5.215,0.680,2.112,265.4,1.384,4.581,1.721,2.860,1.684,-28.07
5.225,0.682,2.116,266.3,1.392,4.580,1.721,2.859,1.686,-28.10
5.235,0.683,2.120,266.1,1.393,4.559,1.701,2.858,1.692,-28.11
5.245,0.684,2.124,267.3,1.402,4.561,1.704,2.857,1.695,-28.11
5.255,0.685,2.128,268.2,1.409,4.559,1.704,2.855,1.699,-28.10
5.265,0.687,2.132,269.1,1.417,4.557,1.702,2.855,1.703,-28.09
5.275,0.688,2.136,270.5,1.427,4.564,1.711,2.852,1.709,-28.00
5.285,0.689,2.141,271.6,1.435,4.565,1.715,2.851,1.719,-28.06
5.295,0.691,2.145,271.5,1.438,4.546,1.688,2.858,1.722,-28.09
5.305,0.692,2.149,272.5,1.446,4.546,1.688,2.858,1.726,-28.13
5.315,0.693,2.153,273.3,1.453,4.542,1.686,2.856,1.724,-28.05
5.325,0.695,2.157,274.1,1.460,4.538,1.682,2.856,1.730,-28.15
5.335,0.696,2.161,276.5,1.475,4.560,1.712,2.848,1.722,-27.46
5.345,0.697,2.165,277.1,1.481,4.553,1.706,2.847,1.728,-27.44
5.355,0.699,2.169,277.7,1.487,4.547,1.705,2.842,1.721,-27.27
5.365,0.700,2.173,279.0,1.497,4.550,1.708,2.842,1.725,-27.29
5.375,0.701,2.177,279.3,1.501,4.538,1.695,2.843,1.736,-27.46
5.385,0.702,2.181,280.0,1.508,4.532,1.691,2.841,1.740,-27.47
5.395,0.704,2.185,281.3,1.518,4.538,1.697,2.840,1.744,-27.54
5.405,0.705,2.189,281.6,1.522,4.525,1.685,2.840,1.749,-27.62
5.415,0.706,2.193,282.6,1.530,4.524,1.687,2.837,1.757,-27.57
5.425,0.708,2.197,283.5,1.538,4.522,1.686,2.836,1.754,-27.39
5.435,0.709,2.201,285.6,1.552,4.538,1.710,2.828,1.751,-26.70
5.445,0.710,2.205,285.3,1.553,4.517,1.693,2.824,1.763,-26.74
5.455,0.712,2.209,286.2,1.561,4.515,1.692,2.823,1.764,-26.70
5.465,0.713,2.214,287.2,1.570,4.515,1.692,2.822,1.767,-26.74
5.475,0.714,2.218,287.7,1.575,4.506,1.685,2.821,1.771,-26.76
5.485,0.716,2.222,288.8,1.584,4.506,1.688,2.818,1.776,-26.80
5.495,0.717,2.226,289.5,1.591,4.501,1.684,2.817,1.783,-26.83
5.506,0.718,2.230,290.5,1.599,4.500,1.685,2.815,1.792,-26.76
5.516,0.719,2.234,291.3,1.607,4.496,1.682,2.814,1.796,-26.76
5.526,0.721,2.238,292.4,1.616,4.497,1.675,2.822,1.798,-26.77
5.536,0.722,2.242,293.2,1.623,4.492,1.671,2.822,1.802,-26.79
5.546,0.723,2.246,294.2,1.631,4.491,1.670,2.821,1.803,-26.84
5.556,0.725,2.250,294.7,1.637,4.483,1.664,2.819,1.805,-26.82
5.566,0.726,2.254,295.7,1.646,4.483,1.665,2.817,1.815,-26.77
5.576,0.727,2.258,297.0,1.656,4.485,1.669,2.816,1.823,-26.77
5.586,0.729,2.262,297.5,1.662,4.478,1.663,2.815,1.829,-26.80
5.596,0.730,2.266,298.3,1.669,4.473,1.659,2.814,1.832,-26.82
5.606,0.731,2.270,299.8,1.680,4.479,1.669,2.811,1.844,-26.78
5.616,0.732,2.274,300.6,1.688,4.475,1.666,2.810,1.846,-26.82
5.626,0.734,2.278,301.8,1.698,4.478,1.671,2.807,1.851,-26.73
5.636,0.735,2.282,302.8,1.706,4.476,1.672,2.804,1.831,-26.19
5.646,0.736,2.286,303.3,1.712,4.467,1.665,2.802,1.836,-26.17
5.656,0.738,2.291,305.1,1.725,4.478,1.677,2.801,1.833,-26.00
5.666,0.739,2.295,305.8,1.733,4.473,1.674,2.799,1.836,-26.01
5.676,0.740,2.299,306.5,1.740,4.468,1.669,2.799,1.840,-26.02
5.686,0.742,2.303,307.1,1.746,4.461,1.663,2.798,1.843,-26.06
5.696,0.743,2.307,307.9,1.754,4.457,1.660,2.797,1.845,-26.08
5.706,0.744,2.311,308.7,1.761,4.452,1.657,2.795,1.848,-26.06
5.716,0.746,2.315,309.9,1.771,4.454,1.660,2.793,1.850,-26.02
5.726,0.747,2.319,311.0,1.781,4.454,1.662,2.792,1.863,-26.04
5.736,0.748,2.323,311.8,1.789,4.450,1.660,2.791,1.866,-26.05
5.746,0.749,2.327,313.1,1.799,4.453,1.664,2.789,1.871,-26.00
5.756,0.751,2.331,313.8,1.806,4.448,1.660,2.788,1.874,-26.01
5.766,0.752,2.335,314.7,1.814,4.444,1.659,2.785,1.882,-25.97
5.776,0.753,2.339,315.7,1.823,4.444,1.660,2.784,1.874,-25.79
5.786,0.755,2.343,316.4,1.830,4.437,1.654,2.783,1.877,-25.78
5.796,0.756,2.347,317.3,1.839,4.436,1.653,2.783,1.880,-25.77
5.806,0.757,2.351,318.6,1.850,4.438,1.658,2.781,1.885,-25.74
5.816,0.759,2.355,319.2,1.857,4.431,1.652,2.780,1.886,-25.75
5.826,0.760,2.359,320.5,1.867,4.433,1.654,2.779,1.888,-25.74
5.836,0.761,2.364,320.4,1.870,4.417,1.648,2.769,1.886,-25.34
5.846,0.763,2.368,320.8,1.875,4.408,1.639,2.769,1.898,-25.53
5.856,0.764,2.372,322.5,1.888,4.415,1.648,2.767,1.882,-25.14
5.866,0.765,2.376,322.7,1.893,4.403,1.637,2.766,1.889,-25.24
5.876,0.766,2.380,323.7,1.902,4.403,1.638,2.765,1.894,-25.25
5.886,0.768,2.384,324.8,1.912,4.402,1.638,2.764,1.892,-25.14
5.896,0.769,2.388,327.1,1.929,4.419,1.656,2.762,1.868,-24.70
5.906,0.770,2.392,327.3,1.933,4.406,1.644,2.762,1.887,-24.95
5.916,0.772,2.396,328.3,1.942,4.404,1.643,2.761,1.891,-24.94
5.926,0.773,2.400,329.3,1.951,4.402,1.642,2.760,1.893,-24.94
5.936,0.774,2.404,330.7,1.963,4.407,1.651,2.755,1.878,-24.55
5.946,0.776,2.408,331.9,1.974,4.408,1.653,2.755,1.877,-24.46
5.956,0.777,2.412,332.7,1.982,4.404,1.650,2.754,1.877,-24.37
5.966,0.778,2.416,334.0,1.993,4.406,1.653,2.753,1.877,-24.28
5.976,0.779,2.420,334.5,1.999,4.397,1.648,2.749,1.855,-23.83
5.986,0.781,2.424,334.9,2.005,4.388,1.641,2.748,1.858,-23.82
5.996,0.782,2.428,336.3,2.017,4.393,1.646,2.747,1.858,-23.74
6.006,0.783,2.432,337.3,2.026,4.391,1.645,2.745,1.864,-23.61
6.016,0.785,2.436,338.5,2.037,4.392,1.652,2.740,1.873,-23.63
6.026,0.786,2.441,339.2,2.044,4.385,1.646,2.739,1.878,-23.60
6.036,0.787,2.445,340.5,2.055,4.388,1.653,2.735,1.879,-23.27
6.046,0.789,2.449,341.1,2.062,4.381,1.647,2.733,1.878,-23.16
6.056,0.790,2.453,342.0,2.071,4.378,1.646,2.732,1.885,-23.23
6.066,0.791,2.457,342.3,2.076,4.368,1.636,2.731,1.888,-23.19
6.076,0.793,2.461,343.5,2.087,4.368,1.639,2.730,1.892,-23.17
6.086,0.794,2.465,345.7,2.104,4.382,1.653,2.729,1.872,-22.70
6.096,0.795,2.469,345.1,2.104,4.360,1.638,2.723,1.871,-22.65
6.106,0.796,2.473,346.4,2.115,4.362,1.641,2.721,1.871,-22.54
6.116,0.798,2.477,347.0,2.123,4.356,1.637,2.719,1.871,-22.42
6.126,0.799,2.481,347.6,2.129,4.348,1.633,2.715,1.880,-22.51
6.136,0.800,2.485,348.8,2.140,4.349,1.636,2.714,1.881,-22.44
6.146,0.802,2.489,349.8,2.150,4.348,1.635,2.713,1.883,-22.37
6.156,0.803,2.493,350.8,2.160,4.346,1.635,2.711,1.885,-22.29
6.166,0.804,2.497,351.3,2.166,4.338,1.627,2.712,1.889,-22.52
6.176,0.806,2.501,352.3,2.176,4.337,1.626,2.710,1.891,-22.45
6.186,0.807,2.505,353.2,2.185,4.333,1.624,2.710,1.893,-22.44
6.196,0.808,2.509,356.2,2.207,4.356,1.641,2.715,1.893,-21.96
6.206,0.810,2.514,357.3,2.217,4.355,1.641,2.714,1.892,-21.86
6.216,0.811,2.518,358.5,2.228,4.356,1.644,2.712,1.889,-21.72
6.226,0.812,2.522,359.8,2.240,4.358,1.646,2.711,1.888,-21.63
6.236,0.813,2.526,360.8,2.250,4.356,1.646,2.710,1.888,-21.50
6.246,0.815,2.530,361.9,2.260,4.355,1.645,2.709,1.887,-21.42
6.256,0.816,2.534,363.2,2.273,4.357,1.649,2.708,1.882,-21.33
6.266,0.817,2.538,364.5,2.284,4.358,1.651,2.707,1.881,-21.22
6.276,0.819,2.542,365.4,2.293,4.355,1.649,2.706,1.880,-21.25
6.286,0.820,2.546,366.5,2.304,4.354,1.649,2.706,1.879,-21.12
6.296,0.821,2.550,367.6,2.314,4.354,1.649,2.705,1.878,-20.97
6.306,0.823,2.554,367.5,2.317,4.339,1.638,2.701,1.878,-20.86
6.316,0.824,2.558,366.9,2.318,4.318,1.619,2.699,1.878,-20.73
6.326,0.825,2.562,368.4,2.330,4.322,1.624,2.698,1.878,-20.63
6.336,0.827,2.566,369.5,2.341,4.321,1.624,2.697,1.872,-20.52
6.346,0.828,2.570,370.9,2.354,4.324,1.629,2.695,1.873,-20.39
6.356,0.829,2.574,372.3,2.367,4.327,1.632,2.695,1.868,-20.31
6.366,0.830,2.578,373.1,2.375,4.322,1.630,2.692,1.867,-20.19
6.376,0.832,2.582,373.9,2.384,4.318,1.630,2.688,1.867,-20.08
6.386,0.833,2.586,374.8,2.394,4.315,1.628,2.687,1.866,-19.99
6.396,0.834,2.591,375.2,2.400,4.306,1.620,2.686,1.864,-19.92
6.406,0.836,2.595,373.3,2.392,4.271,1.589,2.682,1.863,-19.75
6.416,0.837,2.599,374.1,2.400,4.266,1.586,2.680,1.863,-19.60
6.426,0.838,2.603,372.7,2.395,4.238,1.566,2.671,1.862,-19.47
6.436,0.840,2.607,373.8,2.406,4.237,1.566,2.670,1.856,-19.38
6.446,0.841,2.611,374.1,2.412,4.227,1.549,2.678,1.871,-19.35
6.456,0.842,2.615,375.9,2.427,4.233,1.565,2.669,1.861,-19.30
6.466,0.843,2.619,376.6,2.435,4.229,1.560,2.668,1.857,-19.14
6.476,0.845,2.623,377.6,2.445,4.227,1.560,2.667,1.859,-19.01
6.486,0.846,2.627,378.1,2.453,4.220,1.554,2.666,1.857,-18.94
6.496,0.847,2.631,379.2,2.463,4.219,1.554,2.665,1.852,-18.85
6.507,0.849,2.635,379.5,2.469,4.209,1.537,2.671,1.871,-19.04
6.517,0.850,2.639,380.2,2.478,4.204,1.532,2.672,1.865,-18.92
6.527,0.851,2.643,381.0,2.487,4.200,1.531,2.669,1.865,-18.75
6.537,0.853,2.647,382.0,2.497,4.198,1.530,2.668,1.864,-18.66
6.547,0.854,2.651,382.3,2.503,4.189,1.522,2.667,1.860,-18.52
6.557,0.855,2.655,381.7,2.502,4.169,1.506,2.663,1.858,-18.36
6.567,0.857,2.659,382.3,2.511,4.163,1.505,2.658,1.857,-18.18
6.577,0.858,2.664,383.6,2.523,4.164,1.508,2.656,1.857,-18.01
6.587,0.859,2.668,384.5,2.532,4.161,1.506,2.655,1.857,-17.89
6.597,0.860,2.672,385.1,2.540,4.155,1.502,2.653,1.853,-17.79
6.607,0.862,2.676,385.6,2.548,4.148,1.495,2.654,1.838,-17.62
6.617,0.863,2.680,386.4,2.557,4.144,1.491,2.652,1.836,-17.50
6.627,0.864,2.684,387.4,2.567,4.142,1.488,2.655,1.837,-17.73
6.637,0.866,2.688,388.5,2.578,4.141,1.486,2.655,1.833,-17.66
6.647,0.867,2.692,390.3,2.594,4.148,1.501,2.646,1.823,-17.46
6.657,0.868,2.696,390.6,2.600,4.139,1.494,2.644,1.819,-17.32
6.667,0.870,2.700,390.6,2.604,4.126,1.485,2.641,1.817,-17.16
6.677,0.871,2.704,391.7,2.615,4.125,1.477,2.648,1.838,-17.29
6.687,0.872,2.708,392.7,2.626,4.124,1.478,2.646,1.844,-17.32
6.697,0.874,2.712,393.9,2.638,4.124,1.480,2.644,1.842,-17.12
6.707,0.875,2.716,394.6,2.647,4.119,1.477,2.642,1.842,-17.02
6.717,0.876,2.720,395.5,2.656,4.116,1.475,2.641,1.840,-16.80
6.727,0.877,2.724,395.7,2.662,4.106,1.467,2.639,1.840,-16.61
6.737,0.879,2.728,388.0,2.614,4.014,1.394,2.621,1.799,-15.76
6.747,0.880,2.732,388.6,2.622,4.008,1.389,2.619,1.798,-15.57
