V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
3.353,0.437,1.358,108.1,0.362,4.513,1.786,2.726,0.000,0.000
3.363,0.439,1.362,108.7,0.366,4.510,1.786,2.725,0.000,0.000
3.373,0.440,1.366,109.3,0.369,4.508,1.785,2.724,0.000,0.000
3.383,0.441,1.371,109.9,0.372,4.506,1.784,2.722,0.000,0.000
3.393,0.443,1.375,110.4,0.375,4.504,1.783,2.721,0.000,0.000
3.403,0.444,1.379,111.0,0.378,4.501,1.781,2.720,0.000,0.000
3.413,0.445,1.383,111.6,0.381,4.498,1.780,2.718,0.000,0.000
3.423,0.447,1.387,112.2,0.384,4.496,1.779,2.717,0.000,0.000
3.433,0.448,1.391,112.8,0.387,4.493,1.777,2.716,0.000,0.000
3.443,0.449,1.395,113.4,0.390,4.490,1.776,2.714,0.000,0.000
3.453,0.451,1.399,113.9,0.393,4.484,1.771,2.713,0.000,0.000
3.463,0.452,1.403,114.5,0.396,4.481,1.769,2.712,0.000,0.000
3.473,0.453,1.407,115.1,0.400,4.478,1.767,2.710,0.000,0.000
3.483,0.454,1.411,115.7,0.403,4.478,1.769,2.709,0.000,0.000
3.493,0.456,1.415,116.3,0.406,4.475,1.767,2.708,0.000,0.000
3.504,0.457,1.419,116.9,0.410,4.471,1.765,2.707,0.000,0.000
3.514,0.458,1.423,117.5,0.413,4.468,1.763,2.705,0.000,0.000
3.524,0.460,1.427,118.1,0.416,4.465,1.761,2.704,0.000,0.000
3.534,0.461,1.431,118.6,0.419,4.461,1.758,2.703,0.000,0.000
3.544,0.462,1.435,119.2,0.422,4.458,1.756,2.701,0.000,0.000
3.554,0.464,1.439,119.8,0.426,4.454,1.754,2.700,0.000,0.000
3.564,0.465,1.444,120.4,0.429,4.450,1.751,2.699,0.000,0.000
3.574,0.466,1.448,120.9,0.432,4.447,1.749,2.698,0.000,0.000
3.584,0.468,1.452,121.5,0.435,4.443,1.747,2.696,0.000,0.000
3.594,0.469,1.456,122.1,0.439,4.439,1.744,2.695,0.000,0.000
3.604,0.470,1.460,122.7,0.442,4.436,1.742,2.694,0.000,0.000
3.614,0.471,1.464,123.3,0.445,4.432,1.739,2.693,0.000,0.000
3.624,0.473,1.468,123.8,0.449,4.428,1.736,2.692,0.000,0.000
3.634,0.474,1.472,124.4,0.452,4.424,1.734,2.690,0.000,0.000
3.644,0.475,1.476,125.0,0.455,4.420,1.731,2.689,0.000,0.000
3.654,0.477,1.480,125.6,0.459,4.416,1.728,2.688,0.000,0.000
3.664,0.478,1.484,126.1,0.462,4.412,1.725,2.687,0.000,0.000
3.674,0.479,1.488,126.7,0.465,4.408,1.723,2.685,0.000,0.000
3.684,0.481,1.492,127.3,0.469,4.404,1.720,2.684,0.000,0.000
3.694,0.482,1.496,127.9,0.472,4.400,1.717,2.683,0.000,0.000
3.704,0.483,1.500,128.4,0.476,4.396,1.714,2.682,0.000,0.000
3.714,0.484,1.504,129.0,0.479,4.392,1.711,2.681,0.000,0.000
3.724,0.486,1.508,129.6,0.483,4.388,1.708,2.679,0.000,0.000
3.734,0.487,1.512,130.1,0.486,4.383,1.705,2.678,0.000,0.000
3.744,0.488,1.516,130.7,0.489,4.379,1.702,2.677,0.000,0.000
3.754,0.490,1.521,131.3,0.493,4.375,1.699,2.676,0.000,0.000
3.764,0.491,1.525,131.9,0.496,4.371,1.696,2.675,0.000,0.000
3.774,0.492,1.529,132.4,0.500,4.367,1.693,2.674,0.000,0.000
3.784,0.494,1.533,133.0,0.503,4.362,1.690,2.672,0.000,0.000
3.794,0.495,1.537,133.6,0.507,4.358,1.687,2.671,0.000,0.000
3.804,0.496,1.541,134.2,0.510,4.354,1.684,2.670,0.000,0.000
3.814,0.498,1.545,134.8,0.514,4.350,1.681,2.669,0.000,0.000
3.824,0.499,1.549,135.3,0.517,4.346,1.678,2.668,0.000,0.000
3.834,0.500,1.553,135.9,0.521,4.341,1.675,2.667,0.000,0.000
3.844,0.501,1.557,136.5,0.525,4.337,1.672,2.666,0.000,0.000
3.854,0.503,1.561,137.1,0.528,4.333,1.669,2.664,0.000,0.000
3.864,0.504,1.565,137.6,0.532,4.329,1.665,2.663,0.000,0.000
3.874,0.505,1.569,138.2,0.535,4.325,1.662,2.662,0.000,0.000
3.884,0.507,1.573,138.8,0.539,4.320,1.659,2.661,0.000,0.000
3.894,0.508,1.577,139.4,0.543,4.316,1.656,2.660,0.000,0.000
3.904,0.509,1.581,140.0,0.546,4.312,1.653,2.659,0.000,0.000
3.914,0.511,1.585,140.6,0.550,4.308,1.650,2.658,0.000,0.000
3.924,0.512,1.589,141.1,0.554,4.304,1.647,2.657,0.000,0.000
3.934,0.513,1.594,141.7,0.558,4.300,1.644,2.655,0.000,0.000
3.944,0.515,1.598,142.3,0.561,4.296,1.641,2.654,0.000,0.000
3.954,0.516,1.602,142.9,0.565,4.292,1.638,2.653,0.000,0.000
3.964,0.517,1.606,143.5,0.569,4.288,1.635,2.652,0.000,0.000
3.974,0.518,1.610,144.1,0.573,4.284,1.633,2.651,0.000,0.000
3.984,0.520,1.614,144.7,0.576,4.280,1.630,2.650,0.000,0.000
3.994,0.521,1.618,145.3,0.580,4.275,1.627,2.649,0.000,0.000
4.004,0.522,1.622,145.8,0.584,4.271,1.624,2.648,0.000,0.000
4.014,0.524,1.626,146.4,0.588,4.267,1.621,2.647,0.000,0.000
4.024,0.525,1.630,147.0,0.592,4.263,1.618,2.646,0.000,0.000
4.034,0.526,1.634,147.6,0.596,4.259,1.615,2.645,0.000,0.000
4.044,0.528,1.638,148.2,0.599,4.255,1.612,2.644,0.000,0.000
4.054,0.529,1.642,148.8,0.603,4.251,1.609,2.642,0.000,0.000
4.064,0.530,1.646,149.4,0.607,4.247,1.606,2.641,0.000,0.000
4.074,0.532,1.650,150.0,0.611,4.243,1.603,2.640,0.000,0.000
4.084,0.533,1.654,150.6,0.615,4.239,1.600,2.639,0.000,0.000
4.094,0.534,1.658,151.2,0.619,4.235,1.597,2.638,0.000,0.000
4.104,0.535,1.662,151.8,0.623,4.231,1.594,2.637,0.000,0.000
4.114,0.537,1.667,152.4,0.627,4.227,1.591,2.636,0.000,0.000
4.124,0.538,1.671,153.0,0.631,4.223,1.588,2.635,0.000,0.000
4.134,0.539,1.675,153.6,0.635,4.219,1.585,2.634,0.000,0.000
4.144,0.541,1.679,154.2,0.639,4.215,1.582,2.633,0.000,0.000
4.154,0.542,1.683,154.8,0.643,4.211,1.579,2.632,0.000,0.000
4.164,0.543,1.687,155.4,0.647,4.207,1.576,2.631,0.000,0.000
4.174,0.545,1.691,156.0,0.651,4.203,1.573,2.630,0.000,0.000
4.184,0.546,1.695,156.6,0.655,4.199,1.570,2.629,0.000,0.000
4.194,0.547,1.699,157.2,0.659,4.195,1.567,2.628,0.000,0.000
4.204,0.548,1.703,157.8,0.663,4.191,1.564,2.627,0.000,0.000
4.214,0.550,1.707,158.4,0.667,4.187,1.561,2.626,0.000,0.000
4.224,0.551,1.711,159.0,0.672,4.183,1.558,2.625,0.000,0.000
4.234,0.552,1.715,159.6,0.676,4.179,1.555,2.624,0.000,0.000
4.244,0.554,1.719,160.2,0.680,4.175,1.553,2.623,0.000,0.000
4.254,0.555,1.723,160.8,0.684,4.171,1.550,2.622,0.000,0.000
4.264,0.556,1.727,161.4,0.688,4.167,1.547,2.621,0.000,0.000
4.274,0.558,1.731,162.0,0.692,4.163,1.544,2.620,0.000,0.000
4.284,0.559,1.735,162.6,0.697,4.160,1.541,2.619,0.000,0.000
4.294,0.560,1.740,163.2,0.701,4.156,1.538,2.618,0.000,0.000
4.304,0.562,1.744,163.8,0.705,4.152,1.535,2.617,0.000,0.000
4.314,0.563,1.748,164.4,0.709,4.148,1.532,2.616,0.000,0.000
4.324,0.564,1.752,165.0,0.714,4.144,1.529,2.615,0.000,0.000
4.334,0.565,1.756,165.7,0.718,4.140,1.526,2.614,0.000,0.000
4.344,0.567,1.760,166.3,0.722,4.136,1.523,2.613,0.000,0.000
4.354,0.568,1.764,166.9,0.727,4.132,1.521,2.612,0.000,0.000
4.364,0.569,1.768,167.5,0.731,4.129,1.518,2.611,0.000,0.000
4.374,0.571,1.772,168.1,0.735,4.125,1.515,2.610,0.000,0.000
4.384,0.572,1.776,168.7,0.740,4.121,1.512,2.609,0.000,0.000
4.394,0.573,1.780,169.3,0.744,4.117,1.509,2.608,0.000,0.000
4.404,0.575,1.784,170.0,0.749,4.114,1.506,2.607,0.000,0.000
4.414,0.576,1.788,170.6,0.753,4.110,1.504,2.606,0.000,0.000
4.424,0.577,1.792,171.2,0.757,4.106,1.501,2.605,0.000,0.000
4.434,0.579,1.796,171.8,0.762,4.102,1.498,2.604,0.000,0.000
4.444,0.580,1.800,172.4,0.766,4.099,1.496,2.603,0.000,0.000
4.454,0.581,1.804,173.1,0.771,4.095,1.493,2.602,0.000,0.000
4.464,0.582,1.808,173.7,0.775,4.092,1.490,2.601,0.000,0.000
4.474,0.584,1.812,174.3,0.780,4.088,1.488,2.600,0.000,0.000
4.484,0.585,1.817,174.9,0.785,4.084,1.485,2.599,0.000,0.000
4.494,0.586,1.821,175.6,0.789,4.081,1.482,2.599,0.000,0.000
4.505,0.588,1.825,176.2,0.794,4.077,1.480,2.598,0.000,0.000
4.515,0.589,1.829,176.8,0.798,4.074,1.477,2.597,0.000,0.000
4.525,0.590,1.833,177.5,0.803,4.070,1.475,2.596,0.000,0.000
4.535,0.592,1.837,178.1,0.808,4.067,1.472,2.595,0.000,0.000
4.545,0.593,1.841,178.7,0.812,4.063,1.470,2.594,0.000,0.000
4.555,0.594,1.845,179.4,0.817,4.060,1.467,2.593,0.000,0.000
4.565,0.596,1.849,180.0,0.822,4.057,1.465,2.592,0.000,0.000
4.575,0.597,1.853,180.7,0.826,4.053,1.462,2.591,0.000,0.000
4.585,0.598,1.857,181.3,0.831,4.050,1.460,2.590,0.000,0.000
4.595,0.599,1.861,181.9,0.836,4.047,1.457,2.589,0.000,0.000
4.605,0.601,1.865,182.6,0.841,4.043,1.455,2.588,0.000,0.000
4.615,0.602,1.869,183.2,0.846,4.040,1.452,2.587,0.000,0.000
4.625,0.603,1.873,183.9,0.850,4.037,1.450,2.587,0.000,0.000
4.635,0.605,1.877,184.5,0.855,4.033,1.448,2.586,0.000,0.000
4.645,0.606,1.881,185.2,0.860,4.030,1.445,2.585,0.000,0.000
4.655,0.607,1.885,185.8,0.865,4.027,1.443,2.584,0.000,0.000
4.665,0.609,1.890,186.5,0.870,4.024,1.441,2.583,0.000,0.000
4.675,0.610,1.894,187.1,0.875,4.021,1.438,2.582,0.000,0.000
4.685,0.611,1.898,187.8,0.880,4.017,1.436,2.581,0.000,0.000
4.695,0.612,1.902,188.4,0.885,4.014,1.434,2.580,0.000,0.000
4.705,0.614,1.906,189.1,0.890,4.011,1.432,2.579,0.000,0.000
4.715,0.615,1.910,189.7,0.895,4.008,1.429,2.579,0.000,0.000
4.725,0.616,1.914,190.4,0.900,4.005,1.427,2.578,0.000,0.000
4.735,0.618,1.918,191.1,0.905,4.002,1.425,2.577,0.000,0.000
4.745,0.619,1.922,191.7,0.910,3.999,1.423,2.576,0.000,0.000
4.755,0.620,1.926,192.4,0.915,3.996,1.421,2.575,0.000,0.000
4.765,0.622,1.930,193.1,0.920,3.993,1.419,2.574,0.000,0.000
4.775,0.623,1.934,193.7,0.925,3.990,1.416,2.573,0.000,0.000
4.785,0.624,1.938,194.4,0.930,3.987,1.414,2.572,0.000,0.000
4.795,0.626,1.942,195.1,0.935,3.984,1.412,2.572,0.000,0.000
4.805,0.627,1.946,195.7,0.940,3.981,1.410,2.571,0.000,0.000
4.815,0.628,1.950,196.4,0.946,3.978,1.408,2.570,0.000,0.000
4.825,0.629,1.954,197.1,0.951,3.975,1.406,2.569,0.000,0.000
4.835,0.631,1.958,197.7,0.956,3.972,1.404,2.568,0.000,0.000
4.845,0.632,1.963,198.4,0.961,3.969,1.401,2.567,0.000,0.000
4.855,0.633,1.967,199.1,0.966,3.966,1.399,2.566,0.000,0.000
4.865,0.635,1.971,199.8,0.972,3.963,1.397,2.566,0.000,0.000
4.875,0.636,1.975,200.4,0.977,3.960,1.395,2.565,0.000,0.000
4.885,0.637,1.979,201.1,0.982,3.957,1.393,2.564,0.000,0.000
4.895,0.639,1.983,201.8,0.988,3.954,1.391,2.563,0.000,0.000
4.905,0.640,1.987,202.5,0.993,3.951,1.389,2.562,0.000,0.000
4.915,0.641,1.991,203.1,0.998,3.948,1.387,2.561,0.000,0.000
4.925,0.643,1.995,203.8,1.004,3.945,1.385,2.560,0.000,0.000
4.935,0.644,1.999,204.5,1.009,3.942,1.383,2.560,0.000,0.000
4.945,0.645,2.003,205.2,1.015,3.940,1.381,2.559,0.000,0.000
4.955,0.646,2.007,205.9,1.020,3.937,1.379,2.558,0.000,0.000
4.965,0.648,2.011,206.5,1.025,3.934,1.377,2.557,0.000,0.000
4.975,0.649,2.015,207.2,1.031,3.931,1.375,2.556,0.000,0.000
4.985,0.650,2.019,207.9,1.036,3.928,1.373,2.555,0.000,0.000
4.995,0.652,2.023,208.6,1.042,3.925,1.371,2.555,0.000,0.000
5.005,0.653,2.027,209.3,1.047,3.923,1.369,2.554,0.000,0.000
5.015,0.654,2.031,210.0,1.053,3.920,1.367,2.553,0.000,0.000
5.025,0.656,2.035,210.7,1.059,3.917,1.365,2.552,0.000,0.000
5.035,0.657,2.040,211.3,1.064,3.914,1.363,2.551,0.000,0.000
5.045,0.658,2.044,212.0,1.070,3.911,1.361,2.551,0.000,0.000
5.055,0.659,2.048,212.7,1.075,3.909,1.359,2.550,0.000,0.000
5.065,0.661,2.052,213.4,1.081,3.906,1.357,2.549,0.000,0.000
5.075,0.662,2.056,214.1,1.087,3.903,1.355,2.548,0.000,0.000
5.085,0.663,2.060,214.8,1.092,3.900,1.353,2.547,0.000,0.000
5.095,0.665,2.064,215.5,1.098,3.898,1.351,2.547,0.000,0.000
5.105,0.666,2.068,216.2,1.104,3.895,1.349,2.546,0.000,0.000
5.115,0.667,2.072,216.9,1.109,3.892,1.347,2.545,0.000,0.000
5.125,0.669,2.076,217.6,1.115,3.889,1.345,2.544,0.000,0.000
5.135,0.670,2.080,218.3,1.121,3.887,1.343,2.543,0.000,0.000
5.145,0.671,2.084,219.0,1.127,3.884,1.341,2.543,0.000,0.000
5.155,0.673,2.088,219.7,1.133,3.881,1.340,2.542,0.000,0.000
5.165,0.674,2.092,220.4,1.138,3.879,1.338,2.541,0.000,0.000
5.175,0.675,2.096,221.1,1.144,3.876,1.336,2.540,0.000,0.000
5.185,0.676,2.100,221.8,1.150,3.873,1.334,2.539,0.000,0.000
5.195,0.678,2.104,222.5,1.156,3.871,1.332,2.539,0.000,0.000
5.205,0.679,2.108,223.2,1.162,3.868,1.330,2.538,0.000,0.000
5.215,0.680,2.113,223.9,1.168,3.865,1.328,2.537,0.000,0.000
5.225,0.682,2.117,224.6,1.174,3.863,1.326,2.536,0.000,0.000
5.235,0.683,2.121,225.3,1.180,3.860,1.325,2.536,0.000,0.000
5.245,0.684,2.125,226.0,1.186,3.858,1.323,2.535,0.000,0.000
5.255,0.686,2.129,226.8,1.192,3.855,1.321,2.534,0.000,0.000
5.265,0.687,2.133,227.5,1.198,3.852,1.319,2.533,0.000,0.000
5.275,0.688,2.137,228.2,1.204,3.850,1.317,2.532,0.000,0.000
5.285,0.690,2.141,228.9,1.210,3.847,1.316,2.532,0.000,0.000
5.295,0.691,2.145,229.6,1.216,3.845,1.314,2.531,0.000,0.000
5.305,0.692,2.149,230.3,1.222,3.842,1.312,2.530,0.000,0.000
5.315,0.693,2.153,231.0,1.228,3.840,1.310,2.529,0.000,0.000
5.325,0.695,2.157,231.8,1.234,3.837,1.309,2.529,0.000,0.000
5.335,0.696,2.161,232.5,1.240,3.835,1.307,2.528,0.000,0.000
5.345,0.697,2.165,233.2,1.247,3.832,1.305,2.527,0.000,0.000
5.355,0.699,2.169,233.9,1.253,3.830,1.303,2.526,0.000,0.000
5.365,0.700,2.173,234.7,1.259,3.827,1.302,2.526,0.000,0.000
5.375,0.701,2.177,235.4,1.265,3.825,1.300,2.525,0.000,0.000
5.385,0.703,2.181,236.1,1.272,3.822,1.298,2.524,0.000,0.000
5.395,0.704,2.186,236.8,1.278,3.820,1.297,2.523,0.000,0.000
5.405,0.705,2.190,237.6,1.284,3.818,1.295,2.523,0.000,0.000
5.415,0.707,2.194,238.3,1.290,3.815,1.293,2.522,0.000,0.000
5.425,0.708,2.198,239.0,1.297,3.813,1.292,2.521,0.000,0.000
5.435,0.709,2.202,239.8,1.303,3.810,1.290,2.520,0.000,0.000
5.445,0.710,2.206,240.5,1.310,3.808,1.288,2.520,0.000,0.000
5.455,0.712,2.210,241.2,1.316,3.806,1.287,2.519,0.000,0.000
5.465,0.713,2.214,242.0,1.322,3.803,1.285,2.518,0.000,0.000
5.475,0.714,2.218,242.7,1.329,3.801,1.284,2.517,0.000,0.000
5.485,0.716,2.222,243.5,1.335,3.799,1.282,2.517,0.000,0.000
5.495,0.717,2.226,244.2,1.342,3.796,1.280,2.516,0.000,0.000
5.506,0.718,2.230,244.9,1.348,3.794,1.279,2.515,0.000,0.000
5.516,0.720,2.234,245.7,1.355,3.792,1.277,2.514,0.000,0.000
5.526,0.721,2.238,246.4,1.362,3.790,1.276,2.514,0.000,0.000
5.536,0.722,2.242,247.2,1.368,3.787,1.274,2.513,0.000,0.000
5.546,0.723,2.246,247.9,1.375,3.785,1.273,2.512,0.000,0.000
5.556,0.725,2.250,248.7,1.381,3.783,1.271,2.512,0.000,0.000
5.566,0.726,2.254,249.4,1.388,3.781,1.270,2.511,0.000,0.000
5.576,0.727,2.259,250.2,1.395,3.778,1.268,2.510,0.000,0.000
5.586,0.729,2.263,250.9,1.401,3.776,1.267,2.509,0.000,0.000
5.596,0.730,2.267,251.7,1.408,3.774,1.265,2.509,0.000,0.000
5.606,0.731,2.271,252.4,1.415,3.772,1.264,2.508,0.000,0.000
5.616,0.733,2.275,253.2,1.422,3.769,1.262,2.507,0.000,0.000
5.626,0.734,2.279,253.9,1.429,3.767,1.261,2.507,0.000,0.000
5.636,0.735,2.283,254.7,1.435,3.765,1.259,2.506,0.000,0.000
5.646,0.737,2.287,255.4,1.442,3.763,1.258,2.505,0.000,0.000
5.656,0.738,2.291,256.2,1.449,3.761,1.256,2.504,0.000,0.000
5.666,0.739,2.295,257.0,1.456,3.759,1.255,2.504,0.000,0.000
5.676,0.740,2.299,257.7,1.463,3.756,1.253,2.503,0.000,0.000
5.686,0.742,2.303,258.5,1.470,3.754,1.252,2.502,0.000,0.000
5.696,0.743,2.307,259.2,1.477,3.752,1.250,2.502,0.000,0.000
5.706,0.744,2.311,260.0,1.484,3.750,1.249,2.501,0.000,0.000
5.716,0.746,2.315,260.8,1.491,3.748,1.248,2.500,0.000,0.000
5.726,0.747,2.319,261.5,1.498,3.746,1.246,2.500,0.000,0.000
5.736,0.748,2.323,262.3,1.505,3.744,1.245,2.499,0.000,0.000
5.746,0.750,2.327,263.1,1.512,3.741,1.243,2.498,0.000,0.000
5.756,0.751,2.331,263.8,1.519,3.739,1.242,2.498,0.000,0.000
5.766,0.752,2.336,264.6,1.526,3.737,1.240,2.497,0.000,0.000
5.776,0.754,2.340,265.4,1.533,3.735,1.239,2.496,0.000,0.000
5.786,0.755,2.344,266.2,1.540,3.733,1.238,2.495,0.000,0.000
5.796,0.756,2.348,266.9,1.547,3.731,1.236,2.495,0.000,0.000
5.806,0.757,2.352,267.7,1.554,3.729,1.235,2.494,0.000,0.000
5.816,0.759,2.356,268.5,1.561,3.727,1.233,2.493,0.000,0.000
5.826,0.760,2.360,269.2,1.569,3.725,1.232,2.493,0.000,0.000
5.836,0.761,2.364,270.0,1.576,3.723,1.230,2.492,0.000,0.000
5.846,0.763,2.368,270.8,1.583,3.720,1.229,2.491,0.000,0.000
5.856,0.764,2.372,271.6,1.590,3.718,1.228,2.491,0.000,0.000
5.866,0.765,2.376,272.3,1.598,3.716,1.226,2.490,0.000,0.000
5.876,0.767,2.380,273.1,1.605,3.714,1.225,2.489,0.000,0.000
5.886,0.768,2.384,273.9,1.612,3.712,1.223,2.489,0.000,0.000
5.896,0.769,2.388,274.7,1.619,3.710,1.222,2.488,0.000,0.000
5.906,0.770,2.392,275.4,1.627,3.708,1.221,2.487,0.000,0.000
5.916,0.772,2.396,276.2,1.634,3.706,1.219,2.487,0.000,0.000
5.926,0.773,2.400,277.0,1.642,3.704,1.218,2.486,0.000,0.000
5.936,0.774,2.404,277.8,1.649,3.702,1.216,2.485,0.000,0.000
5.946,0.776,2.409,278.6,1.656,3.699,1.215,2.485,0.000,0.000
5.956,0.777,2.413,279.3,1.664,3.697,1.213,2.484,0.000,0.000
5.966,0.778,2.417,280.1,1.671,3.695,1.212,2.483,0.000,0.000
5.976,0.780,2.421,280.9,1.679,3.693,1.210,2.483,0.000,0.000
5.986,0.781,2.425,281.7,1.686,3.691,1.209,2.482,0.000,0.000
5.996,0.782,2.429,282.5,1.694,3.689,1.208,2.481,0.000,0.000
6.006,0.784,2.433,283.2,1.701,3.687,1.206,2.481,0.000,0.000
6.016,0.785,2.437,284.0,1.709,3.685,1.205,2.480,0.000,0.000
6.026,0.786,2.441,284.8,1.716,3.683,1.203,2.479,0.000,0.000
6.036,0.787,2.445,285.6,1.724,3.680,1.202,2.479,0.000,0.000
6.046,0.789,2.449,286.4,1.731,3.678,1.200,2.478,0.000,0.000
6.056,0.790,2.453,287.2,1.739,3.676,1.199,2.477,0.000,0.000
6.066,0.791,2.457,287.9,1.747,3.674,1.197,2.477,0.000,0.000
6.076,0.793,2.461,288.7,1.754,3.672,1.196,2.476,0.000,0.000
6.086,0.794,2.465,289.5,1.762,3.670,1.194,2.476,0.000,0.000
6.096,0.795,2.469,290.3,1.770,3.668,1.193,2.475,0.000,0.000
6.106,0.797,2.473,291.1,1.777,3.665,1.191,2.474,0.000,0.000
6.116,0.798,2.477,291.8,1.785,3.663,1.190,2.474,0.000,0.000
6.126,0.799,2.482,292.6,1.793,3.661,1.188,2.473,0.000,0.000
6.136,0.801,2.486,293.4,1.800,3.659,1.186,2.472,0.000,0.000
6.146,0.802,2.490,294.2,1.808,3.657,1.185,2.472,0.000,0.000
6.156,0.803,2.494,295.0,1.816,3.654,1.183,2.471,0.000,0.000
6.166,0.804,2.498,295.8,1.824,3.652,1.182,2.470,0.000,0.000
6.176,0.806,2.502,296.5,1.831,3.650,1.180,2.470,0.000,0.000
6.186,0.807,2.506,297.3,1.839,3.648,1.179,2.469,0.000,0.000
6.196,0.808,2.510,298.1,1.847,3.646,1.177,2.469,0.000,0.000
6.206,0.810,2.514,298.9,1.855,3.643,1.175,2.468,0.000,0.000
6.216,0.811,2.518,299.7,1.863,3.641,1.174,2.467,0.000,0.000
6.226,0.812,2.522,300.4,1.871,3.639,1.172,2.467,0.000,0.000
6.236,0.814,2.526,301.2,1.878,3.637,1.171,2.466,0.000,0.000
6.246,0.815,2.530,302.0,1.886,3.634,1.169,2.465,0.000,0.000
6.256,0.816,2.534,302.8,1.894,3.632,1.167,2.465,0.000,0.000
6.266,0.818,2.538,303.6,1.902,3.630,1.166,2.464,0.000,0.000
6.276,0.819,2.542,304.3,1.910,3.627,1.164,2.464,0.000,0.000
6.286,0.820,2.546,305.1,1.918,3.625,1.162,2.463,0.000,0.000
6.296,0.821,2.550,305.9,1.926,3.623,1.161,2.462,0.000,0.000
6.306,0.823,2.555,306.7,1.934,3.621,1.159,2.462,0.000,0.000
6.316,0.824,2.559,307.4,1.942,3.618,1.157,2.461,0.000,0.000
6.326,0.825,2.563,308.2,1.950,3.616,1.155,2.460,0.000,0.000
6.336,0.827,2.567,309.0,1.958,3.614,1.154,2.460,0.000,0.000
6.346,0.828,2.571,309.8,1.966,3.611,1.152,2.459,0.000,0.000
6.356,0.829,2.575,310.6,1.974,3.609,1.150,2.459,0.000,0.000
6.366,0.831,2.579,311.3,1.982,3.607,1.148,2.458,0.000,0.000
6.376,0.832,2.583,312.1,1.990,3.604,1.147,2.457,0.000,0.000
6.386,0.833,2.587,312.9,1.998,3.602,1.145,2.457,0.000,0.000
6.396,0.834,2.591,313.6,2.006,3.599,1.143,2.456,0.000,0.000
6.406,0.836,2.595,314.4,2.014,3.597,1.141,2.456,0.000,0.000
6.416,0.837,2.599,315.2,2.022,3.595,1.140,2.455,0.000,0.000
6.426,0.838,2.603,316.0,2.031,3.592,1.138,2.454,0.000,0.000
6.436,0.840,2.607,316.7,2.039,3.590,1.136,2.454,0.000,0.000
6.446,0.841,2.611,317.5,2.047,3.587,1.134,2.453,0.000,0.000
6.456,0.842,2.615,318.3,2.055,3.585,1.132,2.453,0.000,0.000
6.466,0.844,2.619,319.0,2.063,3.582,1.130,2.452,0.000,0.000
6.476,0.845,2.623,319.8,2.071,3.580,1.129,2.451,0.000,0.000
6.486,0.846,2.627,320.6,2.079,3.577,1.127,2.451,0.000,0.000
6.496,0.848,2.632,321.3,2.088,3.575,1.125,2.450,0.000,0.000
6.507,0.849,2.636,322.1,2.096,3.573,1.123,2.450,0.000,0.000
6.517,0.850,2.640,322.9,2.104,3.570,1.121,2.449,0.000,0.000
6.527,0.851,2.644,323.6,2.112,3.568,1.119,2.448,0.000,0.000
6.537,0.853,2.648,324.4,2.121,3.565,1.117,2.448,0.000,0.000
6.547,0.854,2.652,325.2,2.129,3.562,1.115,2.447,0.000,0.000
6.557,0.855,2.656,325.9,2.137,3.560,1.113,2.447,0.000,0.000
6.567,0.857,2.660,326.7,2.145,3.557,1.111,2.446,0.000,0.000
6.577,0.858,2.664,327.5,2.154,3.555,1.109,2.446,0.000,0.000
6.587,0.859,2.668,328.2,2.162,3.552,1.107,2.445,0.000,0.000
6.597,0.861,2.672,329.0,2.170,3.550,1.105,2.444,0.000,0.000
6.607,0.862,2.676,329.8,2.179,3.547,1.103,2.444,0.000,0.000
6.617,0.863,2.680,330.5,2.187,3.545,1.101,2.443,0.000,0.000
6.627,0.865,2.684,331.3,2.195,3.542,1.099,2.443,0.000,0.000
6.637,0.866,2.688,332.0,2.204,3.539,1.097,2.442,0.000,0.000
6.647,0.867,2.692,332.8,2.212,3.537,1.095,2.441,0.000,0.000
6.657,0.868,2.696,333.5,2.220,3.534,1.093,2.441,0.000,0.000
6.667,0.870,2.700,334.3,2.229,3.532,1.091,2.440,0.000,0.000
6.677,0.871,2.705,335.1,2.237,3.529,1.089,2.440,0.000,0.000
6.687,0.872,2.709,335.8,2.246,3.526,1.087,2.439,0.000,0.000
6.697,0.874,2.713,336.6,2.254,3.524,1.085,2.439,0.000,0.000
6.707,0.875,2.717,337.3,2.262,3.521,1.083,2.438,0.000,0.000
6.717,0.876,2.721,338.1,2.271,3.519,1.081,2.437,0.000,0.000
6.727,0.878,2.725,338.8,2.279,3.516,1.079,2.437,0.000,0.000
6.737,0.879,2.729,339.6,2.288,3.513,1.077,2.436,0.000,0.000
6.747,0.880,2.733,340.3,2.296,3.511,1.075,2.436,0.000,0.000
6.757,0.882,2.737,341.1,2.305,3.508,1.073,2.435,0.000,0.000
6.767,0.883,2.741,341.8,2.313,3.505,1.071,2.435,0.000,0.000
6.777,0.884,2.745,342.6,2.322,3.503,1.069,2.434,0.000,0.000
6.787,0.885,2.749,343.3,2.330,3.500,1.066,2.433,0.000,0.000
6.797,0.887,2.753,344.1,2.339,3.497,1.064,2.433,0.000,0.000
6.807,0.888,2.757,344.8,2.347,3.495,1.062,2.432,0.000,0.000
6.817,0.889,2.761,345.6,2.356,3.492,1.060,2.432,0.000,0.000
6.827,0.891,2.765,346.3,2.364,3.489,1.058,2.431,0.000,0.000
