V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
0.781,0.102,0.316,5.617,0.004,4.326,0.799,3.527,0.000,0.000
0.791,0.103,0.320,5.743,0.005,4.312,0.793,3.519,0.000,0.000
0.801,0.104,0.324,5.871,0.005,4.298,0.788,3.511,0.000,0.000
0.811,0.106,0.328,5.999,0.005,4.285,0.782,3.502,0.000,0.000
0.821,0.107,0.332,6.130,0.005,4.272,0.777,3.494,0.000,0.000
0.831,0.108,0.337,6.261,0.005,4.259,0.772,3.486,0.000,0.000
0.841,0.110,0.341,6.394,0.005,4.246,0.767,3.479,0.000,0.000
0.851,0.111,0.345,6.528,0.006,4.234,0.763,3.471,0.000,0.000
0.861,0.112,0.349,6.663,0.006,4.221,0.758,3.463,0.000,0.000
0.871,0.114,0.353,6.800,0.006,4.210,0.754,3.456,0.000,0.000
0.881,0.115,0.357,6.938,0.006,4.198,0.750,3.448,0.000,0.000
0.891,0.116,0.361,7.077,0.006,4.187,0.745,3.441,0.000,0.000
0.901,0.118,0.365,7.218,0.007,4.175,0.741,3.434,0.000,0.000
0.911,0.119,0.369,7.359,0.007,4.164,0.737,3.427,0.000,0.000
0.921,0.120,0.373,7.503,0.007,4.154,0.734,3.420,0.000,0.000
0.931,0.121,0.377,7.840,0.007,4.247,0.834,3.413,0.000,0.000
0.941,0.123,0.381,7.985,0.008,4.235,0.828,3.406,0.000,0.000
0.951,0.124,0.385,8.133,0.008,4.222,0.823,3.400,0.000,0.000
0.961,0.125,0.389,8.281,0.008,4.210,0.817,3.393,0.000,0.000
0.971,0.127,0.393,8.431,0.008,4.199,0.812,3.387,0.000,0.000
0.981,0.128,0.397,8.582,0.008,4.187,0.807,3.380,0.000,0.000
0.991,0.129,0.401,8.734,0.009,4.176,0.802,3.374,0.000,0.000
1.001,0.131,0.405,8.887,0.009,4.164,0.797,3.368,0.000,0.000
1.011,0.132,0.410,9.042,0.009,4.154,0.792,3.361,0.000,0.000
1.021,0.133,0.414,9.198,0.009,4.143,0.787,3.355,0.000,0.000
1.031,0.135,0.418,9.356,0.010,4.132,0.783,3.349,0.000,0.000
1.041,0.136,0.422,9.514,0.010,4.122,0.778,3.343,0.000,0.000
1.051,0.137,0.426,9.674,0.010,4.112,0.774,3.338,0.000,0.000
1.061,0.138,0.430,9.835,0.010,4.102,0.770,3.332,0.000,0.000
1.071,0.140,0.434,9.998,0.011,4.092,0.766,3.326,0.000,0.000
