V [V],I [A] (1000 W/m²),I [A] (800 W/m²),I [A] (600 W/m²),I [A] (400 W/m²)
0.2,8.57,6.848,5.239,3.446
0.3,8.569,6.848,5.239,3.443
0.4,8.569,6.848,5.239,3.442
0.5,8.569,6.848,5.239,3.442
0.6,8.568,6.848,5.238,3.442
0.7,8.568,6.847,5.238,3.442
0.8,8.567,6.847,5.238,3.442
0.9,8.567,6.847,5.238,3.441
1,8.567,6.847,5.238,3.441
1.1,8.566,6.847,5.238,3.441
1.2,8.566,6.847,5.238,3.441
1.3,8.566,6.846,5.237,3.441
1.4,8.565,6.846,5.237,3.44
1.5,8.565,6.846,5.237,3.44
1.6,8.565,6.846,5.237,3.44
1.7,8.564,6.846,5.237,3.44
1.8,8.564,6.846,5.237,3.44
1.9,8.564,6.846,5.236,3.439
2,8.563,6.845,5.236,3.439
2.1,8.563,6.845,5.236,3.439
2.2,8.562,6.845,5.236,3.439
2.3,8.562,6.845,5.236,3.439
2.4,8.562,6.845,5.236,3.438
2.5,8.561,6.845,5.236,3.438
2.6,8.561,6.844,5.235,3.438
2.7,8.561,6.844,5.235,3.438
2.8,8.56,6.844,5.235,3.438
2.9,8.56,6.844,5.235,3.437
3,8.56,6.844,5.235,3.437
3.1,8.559,6.844,5.235,3.437
3.2,8.559,6.844,5.235,3.437
3.3,8.559,6.843,5.234,3.437
3.4,8.558,6.843,5.234,3.436
3.5,8.558,6.843,5.234,3.436
3.6,8.557,6.843,5.234,3.436
3.7,8.557,6.843,5.234,3.436
3.8,8.557,6.843,5.234,3.436
3.9,8.556,6.842,5.233,3.435
4,8.556,6.842,5.233,3.435
4.1,8.556,6.842,5.233,3.435
4.2,8.555,6.842,5.233,3.435
4.3,8.555,6.842,5.233,3.435
4.4,8.555,6.842,5.233,3.434
4.5,8.554,6.842,5.233,3.434
4.6,8.554,6.841,5.232,3.434
4.7,8.554,6.841,5.232,3.434
4.8,8.553,6.841,5.232,3.433
4.9,8.553,6.841,5.232,3.433
5,8.552,6.841,5.232,3.433
5.1,8.552,6.841,5.232,3.433
5.2,8.552,6.84,5.232,3.433
5.3,8.551,6.84,5.231,3.432
5.4,8.551,6.84,5.231,3.432
5.5,8.551,6.84,5.231,3.432
5.6,8.551,6.84,5.231,3.432
5.7,8.551,6.84,5.231,3.432
5.8,8.551,6.84,5.231,3.431
5.9,8.551,6.839,5.23,3.431
6,8.551,6.839,5.23,3.431
6.1,8.551,6.839,5.23,3.431
6.2,8.551,6.839,5.23,3.431
6.3,8.551,6.839,5.23,3.43
6.4,8.551,6.839,5.23,3.43
6.5,8.551,6.838,5.23,3.43
6.6,8.551,6.838,5.229,3.43
6.7,8.551,6.838,5.229,3.43
6.8,8.551,6.838,5.229,3.429
6.9,8.551,6.838,5.229,3.429
7,8.551,6.838,5.229,3.429
7.1,8.551,6.838,5.229,3.429
7.2,8.551,6.837,5.229,3.429
7.3,8.551,6.837,5.228,3.428
7.4,8.551,6.837,5.228,3.428
7.5,8.551,6.837,5.228,3.428
7.6,8.551,6.837,5.228,3.428
7.7,8.551,6.837,5.228,3.428
7.8,8.551,6.836,5.228,3.427
7.9,8.551,6.836,5.228,3.427
8,8.551,6.836,5.227,3.427
8.1,8.551,6.836,5.227,3.427
8.2,8.551,6.836,5.227,3.427
8.3,8.551,6.836,5.227,3.426
8.4,8.551,6.836,5.227,3.426
8.5,8.551,6.835,5.227,3.426
8.6,8.551,6.835,5.226,3.426
8.7,8.551,6.835,5.226,3.426
8.8,8.551,6.835,5.226,3.425
8.9,8.551,6.835,5.226,3.425
9,8.551,6.835,5.226,3.425
9.1,8.551,6.834,5.226,3.425
9.2,8.551,6.834,5.226,3.425
9.3,8.551,6.834,5.225,3.424
9.4,8.551,6.834,5.225,3.424
9.5,8.551,6.834,5.225,3.424
9.6,8.551,6.834,5.225,3.424
9.7,8.551,6.834,5.225,3.424
9.8,8.551,6.833,5.225,3.423
9.9,8.551,6.833,5.225,3.423
10,8.551,6.833,5.224,3.423
10.1,8.551,6.833,5.224,3.423
10.2,8.551,6.833,5.224,3.423
10.3,8.551,6.833,5.224,3.423
10.4,8.551,6.832,5.224,3.422
10.5,8.551,6.832,5.224,3.422
10.6,8.551,6.832,5.223,3.422
10.7,8.551,6.832,5.223,3.422
10.8,8.551,6.832,5.223,3.422
10.9,8.551,6.832,5.223,3.422
11,8.551,6.832,5.223,3.421
11.1,8.551,6.831,5.223,3.421
11.2,8.551,6.831,5.223,3.421
11.3,8.551,6.831,5.222,3.421
11.4,8.551,6.831,5.222,3.421
