V [V],I [A] (1000 W/m²),I [A] (800 W/m²),I [A] (600 W/m²),I [A] (400 W/m²)
15.9,8.92,7.169,5.209,3.423
16,8.92,7.17,5.209,3.423
16.1,8.92,7.17,5.209,3.423
16.2,8.92,7.17,5.208,3.423
16.3,8.92,7.17,5.208,3.423
16.4,8.92,7.17,5.208,3.423
16.5,8.92,7.17,5.208,3.422
16.6,8.92,7.171,5.208,3.422
16.7,8.92,7.171,5.208,3.422
16.8,8.92,7.171,5.207,3.422
16.9,8.92,7.171,5.207,3.421
17,8.92,7.171,5.207,3.421
17.1,8.92,7.171,5.207,3.421
17.2,8.92,7.172,5.207,3.42
17.3,8.92,7.172,5.207,3.42
17.4,8.92,7.172,5.206,3.419
17.5,8.92,7.172,5.206,3.419
17.6,8.92,7.172,5.206,3.418
17.7,8.92,7.172,5.206,3.418
17.8,8.92,7.173,5.206,3.418
17.9,8.92,7.173,5.206,3.417
18,8.92,7.173,5.205,3.417
18.1,8.92,7.173,5.205,3.416
18.2,8.92,7.173,5.205,3.416
18.3,8.92,7.173,5.205,3.416
18.4,8.92,7.174,5.205,3.415
18.5,8.92,7.174,5.205,3.415
18.6,8.92,7.174,5.205,3.414
18.7,8.92,7.174,5.204,3.414
18.8,8.92,7.174,5.204,3.413
18.9,8.92,7.175,5.204,3.413
19,8.92,7.175,5.204,3.413
19.1,8.92,7.175,5.204,3.412
19.2,8.92,7.175,5.204,3.412
19.3,8.92,7.175,5.203,3.411
19.4,8.92,7.175,5.203,3.411
19.5,8.92,7.176,5.203,3.411
19.6,8.92,7.176,5.202,3.41
19.7,8.92,7.176,5.202,3.41
19.8,8.92,7.176,5.202,3.409
19.9,8.92,7.176,5.202,3.409
20,8.92,7.176,5.201,3.409
20.1,8.92,7.177,5.201,3.408
20.2,8.92,7.177,5.201,3.408
20.3,8.92,7.177,5.2,3.407
20.4,8.92,7.177,5.2,3.407
20.5,8.92,7.177,5.2,3.406
20.6,8.92,7.177,5.199,3.406
20.7,8.92,7.178,5.199,3.406
20.8,8.92,7.178,5.199,3.405
20.9,8.92,7.178,5.198,3.405
21,8.92,7.178,5.198,3.404
21.1,8.92,7.178,5.198,3.404
21.2,8.92,7.179,5.198,3.404
21.3,8.92,7.179,5.197,3.403
21.4,8.92,7.179,5.197,3.403
21.5,8.92,7.179,5.197,3.402
21.6,8.92,7.179,5.196,3.402
21.7,8.92,7.179,5.196,3.401
21.8,8.92,7.18,5.196,3.401
21.9,8.92,7.18,5.195,3.401
22,8.92,7.18,5.195,3.4
22.1,8.92,7.18,5.195,3.4
22.2,8.92,7.18,5.194,3.399
22.3,8.92,7.18,5.194,3.399
22.4,8.92,7.181,5.194,3.399
22.5,8.92,7.181,5.194,3.398
22.6,8.92,7.181,5.193,3.398
22.7,8.92,7.18,5.193,3.397
22.8,8.92,7.179,5.193,3.397
22.9,8.92,7.177,5.192,3.397
23,8.92,7.176,5.192,3.396
23.1,8.92,7.175,5.192,3.396
23.2,8.92,7.174,5.191,3.395
23.3,8.92,7.173,5.191,3.395
23.4,8.92,7.172,5.191,3.394
23.5,8.92,7.171,5.19,3.394
23.6,8.92,7.169,5.19,3.394
23.7,8.92,7.168,5.19,3.394
23.8,8.92,7.167,5.19,3.394
23.9,8.92,7.167,5.189,3.394
24,8.92,7.167,5.189,3.394
24.1,8.92,7.167,5.189,3.394
24.2,8.92,7.167,5.189,3.394
24.3,8.92,7.167,5.189,3.394
24.4,8.92,7.166,5.189,3.394
24.5,8.92,7.163,5.189,3.394
24.6,8.92,7.16,5.189,3.39
24.7,8.92,7.157,5.189,3.384
24.8,8.92,7.155,5.186,3.379
24.9,8.92,7.151,5.184,3.374
25,8.92,7.147,5.182,3.369
25.1,8.92,7.143,5.18,3.363
25.2,8.92,7.139,5.178,3.356
25.3,8.92,7.133,5.175,3.349
25.4,8.92,7.126,5.167,3.341
25.5,8.92,7.12,5.159,3.336
25.6,8.92,7.114,5.151,3.331
25.7,8.92,7.107,5.143,3.326
25.8,8.92,7.1,5.135,3.321
25.9,8.92,7.093,5.127,3.316
26,8.92,7.085,5.118,3.312
26.1,8.92,7.076,5.109,3.304
26.2,8.92,7.064,5.1,3.296
26.3,8.92,7.053,5.092,3.287
26.4,8.92,7.041,5.083,3.278
26.5,8.915,7.03,5.074,3.269
26.6,8.908,7.019,5.065,3.261
26.7,8.901,7.008,5.056,3.251
26.8,8.894,6.997,5.046,3.239
26.9,8.887,6.986,5.034,3.227
27,8.879,6.975,5.021,3.215
27.1,8.873,6.964,5.009,3.203
27.2,8.866,6.952,4.996,3.191
27.3,8.86,6.938,4.984,3.179
27.4,8.853,6.923,4.971,3.166
27.5,8.846,6.909,4.959,3.153
27.6,8.84,6.895,4.945,3.14
27.7,8.832,6.88,4.931,3.126
27.8,8.822,6.866,4.917,3.113
27.9,8.813,6.85,4.903,3.1
28,8.803,6.831,4.888,3.085
28.1,8.794,6.812,4.874,3.069
28.2,8.784,6.793,4.86,3.054
28.3,8.775,6.774,4.846,3.039
28.4,8.765,6.755,4.828,3.023
28.5,8.756,6.736,4.809,3.008
28.6,8.746,6.717,4.789,2.99
28.7,8.737,6.698,4.769,2.97
28.8,8.727,6.68,4.749,2.951
28.9,8.716,6.662,4.73,2.931
29,8.703,6.644,4.709,2.911
29.1,8.69,6.626,4.687,2.891
29.2,8.677,6.605,4.664,2.871
29.3,8.664,6.583,4.641,2.848
29.4,8.65,6.56,4.618,2.825
29.5,8.632,6.538,4.593,2.802
29.6,8.614,6.514,4.561,2.78
29.7,8.596,6.486,4.529,2.757
29.8,8.578,6.457,4.497,2.734
29.9,8.56,6.429,4.465,2.711
30,8.543,6.4,4.435,2.688
