,Caso,trans_k,esc_d [%],prop_D [in],prop_P [in],hull_u [km/h],Distância [km],batt_z final [%],motor_q max [Nm],motor_w [rad/s],prop_j [-],prop_w [rad/s],vs Baseline [%]
0,Baseline,0.6363636363636364,100.0,9.00000486,10.50000567,18.0,0.24,96.14477061101448,15.319954544976797,297.267558764383,0.6772402314506895,189.17026466824382,0.0
1,Caso 1,0.9250040059033169,100.0,9.00000486,10.50000567,20.571428571428573,0.24,93.26627898968695,28.95396432493164,232.52402589906538,0.6773458012739619,215.08565542540205,14.285714285714302
