,Caso,trans_k,esc_d [%],prop_D [in],prop_P [in],hull_u [km/h],Distância [km],batt_z final [%],motor_q max [Nm],motor_w [rad/s],prop_j [-],prop_w [rad/s],vs Baseline [%]
0,Baseline,0.6363636363636364,40.01182408277727,9.00000486,10.50000567,8.488870428472378,42.444352142361886,63.85561098534917,3.735795617171483,136.47412007233675,0.6771384902060212,86.84716731875976,0.0
1,Caso 1,0.4772857176838804,52.84442678345766,9.00000486,10.50000567,8.556890558109517,42.78445279054758,63.64714941819541,2.8503585624071106,183.4180698492448,0.6771386459117356,87.5428251041889,0.8012859921738835
